frame,YOLO_score,motion_score,temporal_score,dynamic_state
1,0.285714,NA,0.682090,1
2,0.333333,NA,0.653731,1
3,0.333333,NA,0.647761,1
4,0.333333,NA,0.631343,1
5,0.333333,NA,0.671642,1
6,0.333333,NA,0.655224,1
7,0.333333,NA,0.667164,1
8,0.285714,NA,0.658209,1
9,0.285714,NA,0.638806,1
10,0.285714,NA,0.640299,1
11,0.333333,NA,0.626866,1
12,0.285714,NA,0.659701,1
13,0.333333,NA,0.668657,1
14,0.333333,NA,0.682090,1
15,0.333333,NA,0.728358,1
16,0.400000,NA,0.856716,1
17,0.400000,NA,0.822388,1
18,0.400000,NA,0.816418,1
19,0.400000,NA,0.831343,1
20,0.400000,NA,0.849254,1
21,0.400000,NA,0.825373,1
22,0.400000,NA,0.853731,1
23,0.400000,NA,0.850746,1
24,0.400000,NA,0.841791,1
25,0.400000,NA,0.788060,1
26,0.400000,NA,0.820896,1
27,0.400000,NA,0.834328,1
28,0.400000,NA,0.843284,1
29,0.400000,NA,0.888060,1
30,0.400000,NA,0.882090,1
31,0.400000,NA,0.862687,1
32,0.333333,NA,0.901493,1
33,0.400000,NA,0.905970,1
34,0.400000,NA,0.911940,1
35,0.285714,NA,0.861194,1
36,0.400000,NA,0.865672,1
37,0.400000,NA,0.867164,1
38,0.285714,NA,0.885075,1
39,0.400000,NA,0.868657,1
40,0.400000,NA,0.908955,1
41,0.500000,NA,0.837313,1
42,0.500000,NA,0.911940,1
43,0.500000,NA,0.907463,1
44,0.500000,NA,0.891045,1
45,0.500000,NA,0.904478,1
46,0.500000,NA,0.923881,1
47,0.500000,NA,0.895522,1
48,0.500000,NA,0.895522,1
49,0.400000,NA,0.867164,1
50,0.500000,NA,0.989552,1
51,0.500000,NA,0.965672,1
52,0.500000,NA,1.000000,1
53,0.500000,NA,0.967164,1
54,0.500000,NA,0.914925,1
55,0.400000,NA,0.874627,1
56,0.500000,NA,0.916418,1
57,0.500000,NA,0.922388,1
58,0.500000,NA,0.905970,1
59,0.500000,NA,0.900000,1
60,0.500000,NA,0.920896,1
61,0.500000,NA,0.929851,1
62,0.500000,NA,0.876119,1
63,0.500000,NA,0.862687,1
64,0.500000,NA,0.838806,1
65,0.500000,NA,0.895522,1
66,0.500000,NA,0.873134,1
67,0.500000,NA,0.883582,1
68,0.400000,NA,0.882090,1
69,0.500000,NA,0.856716,1
70,0.500000,NA,0.841791,1
71,0.500000,NA,0.801493,1
72,0.500000,NA,0.743284,1
73,0.500000,NA,0.738806,1
74,0.500000,NA,0.743284,1
75,0.500000,NA,0.738806,1
76,0.500000,NA,0.711940,1
77,0.500000,NA,0.710448,1
78,0.500000,NA,0.713433,1
79,0.500000,NA,0.717910,1
80,0.500000,NA,0.728358,1
81,0.500000,NA,0.788060,1
82,0.500000,NA,0.756716,1
83,0.500000,NA,0.722388,1
84,0.500000,NA,0.785075,1
85,0.500000,NA,0.826866,1
86,0.500000,NA,0.752239,1
87,0.500000,NA,0.771642,1
88,0.500000,NA,0.814925,1
89,0.500000,NA,0.817910,1
90,0.500000,NA,0.788060,1
91,0.500000,NA,0.762687,1
92,0.500000,NA,0.713433,1
93,0.500000,NA,0.692537,1
94,0.500000,NA,0.694030,1
95,0.400000,NA,0.565672,1
96,0.400000,NA,0.547761,1
97,0.400000,NA,0.525373,1
98,0.400000,NA,0.525373,1
99,0.400000,NA,0.507463,1
100,0.400000,NA,0.434328,1
101,0.400000,NA,0.400000,1
102,0.400000,NA,0.388060,1
103,0.500000,NA,0.397015,1
104,0.400000,NA,0.395522,1
105,0.400000,NA,0.388060,1
106,0.666667,NA,0.382090,1
107,0.666667,NA,0.370149,1
108,0.500000,NA,0.400000,1
109,0.500000,NA,0.431343,1
110,0.500000,NA,0.449254,1
111,0.500000,NA,0.497015,1
112,0.500000,NA,0.488060,1
113,0.500000,NA,0.507463,1
114,0.500000,NA,0.502985,1
115,0.500000,NA,0.511940,1
116,0.500000,NA,0.507463,1
117,0.500000,NA,0.491045,1
118,0.500000,NA,0.492537,1
119,0.500000,NA,0.470149,1
120,0.500000,NA,0.461194,1
121,0.500000,NA,0.483582,1
122,0.500000,NA,0.449254,1
123,0.500000,NA,0.464179,1
124,0.333333,NA,0.422388,1
125,0.500000,NA,0.479104,1
126,0.333333,NA,0.416418,1
127,0.500000,NA,0.453731,1
128,0.500000,NA,0.453731,1
129,0.500000,NA,0.531343,1
130,0.500000,NA,0.489552,1
131,0.500000,NA,0.520896,1
132,0.500000,NA,0.513433,1
133,0.500000,NA,0.517910,1
134,0.400000,NA,0.500000,1
135,0.500000,NA,0.546269,1
136,0.400000,NA,0.482090,1
137,0.333333,NA,0.391045,1
138,0.400000,NA,0.416418,1
139,0.333333,NA,0.389552,1
140,0.400000,NA,0.398507,1
141,0.250000,NA,0.316418,1
142,0.250000,NA,0.300000,1
143,0.250000,NA,0.356716,1
144,0.200000,NA,0.341791,1
145,0.250000,NA,0.307463,1
146,0.200000,NA,0.314925,1
147,0.200000,NA,0.343284,1
148,0.200000,NA,0.361194,1
149,0.250000,NA,0.362687,1
150,0.250000,NA,0.408955,1
151,0.250000,NA,0.377612,1
152,0.250000,NA,0.426866,1
153,0.250000,NA,0.477612,1
154,0.250000,NA,0.411940,1
155,0.250000,NA,0.420896,1
156,0.333333,NA,0.422388,1
157,0.333333,NA,0.497015,1
158,0.333333,NA,0.502985,1
159,0.500000,NA,0.501493,1
160,0.500000,NA,0.497015,1
161,0.500000,NA,0.494030,1
162,0.500000,NA,0.510448,1
163,0.500000,NA,0.459701,1
164,0.500000,NA,0.447761,1
165,0.500000,NA,0.429851,1
166,0.500000,NA,0.388060,1
167,0.500000,NA,0.386567,1
168,0.500000,NA,0.402985,1
169,0.333333,NA,0.440299,1
170,0.500000,NA,0.511940,1
171,0.500000,NA,0.555224,1
172,0.500000,NA,0.589552,1
173,0.500000,NA,0.579104,1
174,1.000000,NA,0.556716,1
175,1.000000,NA,0.534328,1
176,0.500000,NA,0.495522,1
177,0.500000,NA,0.438806,1
178,0.333333,NA,0.407463,1
179,0.333333,NA,0.305970,1
180,0.500000,NA,0.222388,1
181,0.500000,NA,0.158209,1
182,0.250000,NA,0.126866,1
183,0.000000,NA,0.000000,0
184,0.000000,NA,0.000000,0
185,0.000000,NA,0.000000,0
186,0.000000,NA,0.000000,0
187,0.000000,NA,0.000000,0
188,0.000000,NA,0.000000,0
189,0.000000,NA,0.000000,0
190,0.000000,NA,0.000000,0
191,0.000000,NA,0.000000,0
192,0.000000,NA,0.000000,0
193,0.000000,NA,0.000000,0
194,0.000000,NA,0.000000,0
195,0.000000,NA,0.000000,0
196,0.000000,NA,0.000000,0
197,0.000000,NA,0.000000,0
198,0.333333,NA,0.082090,1
199,0.500000,NA,0.216418,1
200,0.250000,NA,0.192537,1
201,0.333333,NA,0.214925,1
202,0.500000,NA,0.205970,1
203,0.500000,NA,0.194030,1
204,0.500000,NA,0.243284,1
205,1.000000,NA,0.323881,1
206,0.500000,NA,0.417910,1
207,1.000000,NA,0.353731,1
208,0.500000,NA,0.292537,1
209,0.500000,NA,0.274627,1
210,0.500000,NA,0.317910,1
211,0.333333,NA,0.277612,1
212,0.500000,NA,0.264179,1
213,1.000000,NA,0.265672,1
214,0.500000,NA,0.229851,1
215,0.500000,NA,0.255224,1
216,0.500000,NA,0.322388,1
217,0.500000,NA,0.300000,1
218,0.500000,NA,0.298507,1
219,0.500000,NA,0.274627,1
220,0.500000,NA,0.307463,1
221,0.500000,NA,0.343284,1
222,0.500000,NA,0.322388,1
223,0.500000,NA,0.353731,1
224,0.333333,NA,0.314925,1
225,0.333333,NA,0.311940,1
226,0.333333,NA,0.277612,1
227,0.333333,NA,0.301493,1
228,0.333333,NA,0.302985,1
229,0.333333,NA,0.282090,1
230,0.333333,NA,0.323881,1
231,0.250000,NA,0.328358,1
232,0.333333,NA,0.307463,1
233,0.250000,NA,0.344776,1
234,0.333333,NA,0.346269,1
235,0.333333,NA,0.320896,1
236,0.333333,NA,0.282090,1
237,0.333333,NA,0.264179,1
238,0.333333,NA,0.219403,1
239,0.333333,NA,0.198507,1
240,0.250000,NA,0.201493,1
241,0.333333,NA,0.188060,1
242,0.250000,NA,0.146269,1
243,0.250000,NA,0.131343,1
244,0.250000,NA,0.107463,1
245,0.200000,NA,0.119403,1
246,0.250000,NA,0.083582,1
247,0.250000,NA,0.080597,1
248,0.200000,NA,0.034328,1
249,0.200000,NA,0.025373,1
250,0.000000,NA,0.000000,0
251,0.000000,NA,0.000000,0
252,0.000000,NA,0.000000,0
253,0.000000,NA,0.000000,0
254,0.000000,NA,0.000000,0
