variant,variant_key,sequence,run_id,status,ATE_RMSE,RPE_translation_RMSE,RPE_rotation_RMSE,FPS,Pose_Missing_Ratio,Precision,Recall,F1,Trajectory_Smoothness,Switching_Frequency,Label_Fluctuation,Probability_Variance,Mean_Probability_Change,Temporal_Consistency_Score,ID_Switches,Average_Track_Length,Input_Frames,Valid_Poses,Total_Runtime_sec,run_dir
Baseline,baseline,fr3_walking_xyz,run_01,completed,1.0747648212213512,0.04227198206327038,0.847594613164076,7.983579,0.19709794437726724,nan,nan,nan,0.03446007615457531,0.0,0.0,nan,nan,1.0,nan,nan,827,664,103.587624,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_xyz/run_01
Baseline,baseline,fr3_walking_xyz,run_02,completed,0.6852366645976872,0.028772996703787454,0.6809211940190241,10.134231,0.35429262394195893,nan,nan,nan,0.029063470101153954,0.0,0.0,nan,nan,1.0,nan,nan,827,534,81.604617,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_xyz/run_02
Baseline,baseline,fr3_walking_xyz,run_03,completed,0.6871778121138266,0.028058048063859142,0.6073056450305444,15.138290,0.5235792019347038,nan,nan,nan,0.026374321258718487,0.0,0.0,nan,nan,1.0,nan,nan,827,394,54.629685,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_xyz/run_03
Baseline,baseline,fr3_walking_rpy,run_01,completed,1.1240030668433585,0.09977356832161259,2.097159162077543,14.763908,0.04503464203233254,nan,nan,nan,0.028340624165415256,0.0,0.0,nan,nan,1.0,nan,nan,866,827,58.656557,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_rpy/run_01
Baseline,baseline,fr3_walking_rpy,run_02,completed,1.1199156913252908,0.09384576325359875,1.951481284247023,16.702741,0.009237875288683584,nan,nan,nan,0.029642945958481305,0.0,0.0,nan,nan,1.0,nan,nan,866,858,51.847779,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_rpy/run_02
Baseline,baseline,fr3_walking_rpy,run_03,completed,1.1773806472967259,0.027621846873658634,0.6586313045936713,14.991341,0.06235565819861433,nan,nan,nan,0.022502121432643865,0.0,0.0,nan,nan,1.0,nan,nan,866,812,57.766681,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_rpy/run_03
Baseline,baseline,fr3_walking_halfsphere,run_01,completed,0.569759275868172,0.061523765640444414,1.4614924592531633,15.423396,0.11165523996082272,nan,nan,nan,0.024936919634255473,0.0,0.0,nan,nan,1.0,nan,nan,1021,907,66.198133,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_halfsphere/run_01
Baseline,baseline,fr3_walking_halfsphere,run_02,completed,0.5132143391940273,0.09552723658878481,2.1375865628147803,17.799923,0.4593535749265426,nan,nan,nan,0.03446922017000491,0.0,0.0,nan,nan,1.0,nan,nan,1021,552,57.359799,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_halfsphere/run_02
Baseline,baseline,fr3_walking_halfsphere,run_03,completed,0.6849793744661812,0.0516009049064233,1.0232961693209406,13.943588,0.247796278158668,nan,nan,nan,0.026395314145549364,0.0,0.0,nan,nan,1.0,nan,nan,1021,768,73.223621,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/baseline/fr3_walking_halfsphere/run_03
Semantic Mask,semantic_mask,fr3_walking_xyz,run_01,completed,0.7514239979973749,0.02118015882685366,0.5338397895671481,11.613973,0.0,nan,nan,nan,0.020271516233430986,0.01696969696969697,0.02676856126943693,nan,nan,0.9732314387305631,nan,nan,827,827,71.207329,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_xyz/run_01
Semantic Mask,semantic_mask,fr3_walking_xyz,run_02,completed,0.622181408937121,0.08127670339241576,1.4959653991826152,13.774546,0.12696493349455862,nan,nan,nan,0.02755489015632492,0.019417475728155338,0.026005037009507282,nan,nan,0.9739949629904927,nan,nan,827,722,60.038275,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_xyz/run_02
Semantic Mask,semantic_mask,fr3_walking_xyz,run_03,completed,0.5184622034765656,0.08878920374994441,1.7055768300931784,12.833077,0.20193470374848854,nan,nan,nan,0.0353059998182714,0.02118003025718608,0.025007903971320994,nan,nan,0.974992096028679,nan,nan,827,660,64.442844,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_xyz/run_03
Semantic Mask,semantic_mask,fr3_walking_rpy,run_01,completed,0.016764772567837146,0.017167962675807072,0.4259305576402874,12.455032,0.9595842956120092,nan,nan,nan,0.019541877855529244,0.0,0.05165820562698677,nan,nan,0.9483417943730132,nan,nan,866,35,69.530133,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_rpy/run_01
Semantic Mask,semantic_mask,fr3_walking_rpy,run_02,completed,0.7782719664401182,0.10881585165341345,2.253734735932183,13.927355,0.266743648960739,nan,nan,nan,0.036304335461294066,0.05642633228840126,0.049977053582919116,nan,nan,0.9500229464170808,nan,nan,866,635,62.179787,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_rpy/run_02
Semantic Mask,semantic_mask,fr3_walking_rpy,run_03,completed,0.7470801910649859,0.03126812897833804,0.6839359057848564,12.846666,0.5750577367205543,nan,nan,nan,0.02568808733556359,0.08423913043478261,0.04099227313303968,nan,nan,0.9590077268669603,nan,nan,866,368,67.410488,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_rpy/run_03
Semantic Mask,semantic_mask,fr3_walking_halfsphere,run_01,completed,0.6581979072715003,0.02077393079141475,0.5399054130495858,13.387834,0.015670910871694366,nan,nan,nan,0.019317896659316113,0.045816733067729085,0.04298112580004634,nan,nan,0.9570188741999537,nan,nan,1021,1005,76.263269,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_halfsphere/run_01
Semantic Mask,semantic_mask,fr3_walking_halfsphere,run_02,completed,0.49262065253418336,0.06673459166949834,1.2587947260778694,14.500353,0.2918707149853085,nan,nan,nan,0.029487060255007656,0.04689655172413793,0.040004277878783245,nan,nan,0.9599957221212168,nan,nan,1021,723,70.412081,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_halfsphere/run_02
