variant,sequence,run_id,Switching_Frequency,Label_Fluctuation,Probability_Variance,Mean_Probability_Change,Temporal_Consistency_Score,metric_note
Baseline,fr3_walking_xyz,run_01,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_xyz,run_02,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_xyz,run_03,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_rpy,run_01,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_rpy,run_02,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_rpy,run_03,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_halfsphere,run_01,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_halfsphere,run_02,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Baseline,fr3_walking_halfsphere,run_03,0.0,0.0,nan,nan,1.0,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_xyz,run_01,0.01696969696969697,0.02676856126943693,nan,nan,0.9732314387305631,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_xyz,run_02,0.019417475728155338,0.026005037009507282,nan,nan,0.9739949629904927,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_xyz,run_03,0.02118003025718608,0.025007903971320994,nan,nan,0.974992096028679,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_rpy,run_01,0.0,0.05165820562698677,nan,nan,0.9483417943730132,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_rpy,run_02,0.05642633228840126,0.049977053582919116,nan,nan,0.9500229464170808,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_rpy,run_03,0.08423913043478261,0.04099227313303968,nan,nan,0.9590077268669603,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_halfsphere,run_01,0.045816733067729085,0.04298112580004634,nan,nan,0.9570188741999537,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_halfsphere,run_02,0.04689655172413793,0.040004277878783245,nan,nan,0.9599957221212168,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Semantic Mask,fr3_walking_halfsphere,run_03,0.03935599284436494,0.03597923866682662,nan,nan,0.9640207613331734,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_xyz,run_01,0.01696969696969697,0.026882814155541425,nan,nan,0.9731171858444586,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_xyz,run_02,0.01696969696969697,0.026972752514181714,nan,nan,0.9730272474858183,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_xyz,run_03,0.01696969696969697,0.026747333227193124,nan,nan,0.9732526667728069,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_rpy,run_01,0.0,0.05132978723404255,nan,nan,0.9486702127659574,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_rpy,run_02,0.0,0.056144144144144155,nan,nan,0.9438558558558559,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_rpy,run_03,0.04819277108433735,0.04642467674092539,nan,nan,0.9535753232590746,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_halfsphere,run_01,0.051533742331288344,0.0439921923549686,nan,nan,0.9560078076450313,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_halfsphere,run_02,0.037383177570093455,0.03650631239572948,nan,nan,0.9634936876042706,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Temporal Consistency,fr3_walking_halfsphere,run_03,0.04472843450479233,0.03683854140959954,nan,nan,0.9631614585904005,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_xyz,run_01,0.01907356948228883,0.02710022367584513,nan,nan,0.9728997763241549,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_xyz,run_02,0.01696969696969697,0.026759049098076696,nan,nan,0.9732409509019233,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_xyz,run_03,0.01696969696969697,0.026803647513240155,nan,nan,0.9731963524867598,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
