Variant,Short Label,Metric,Mean,Std,Plotted,Note
Baseline,Baseline,ATE (m),0.8485,0.2689,yes,
Baseline,Baseline,RPE (m),0.0588,0.0304,yes,
Baseline,Baseline,Pose Missing Ratio,0.2234,0.1872,yes,
Baseline,Baseline,Switching Frequency,0.0000,0.0000,no,Baseline excluded from switching-frequency comparison
Semantic Mask,Sem. Mask,ATE (m),0.5701,0.2328,yes,
Semantic Mask,Sem. Mask,RPE (m),0.0558,0.0341,yes,
Semantic Mask,Sem. Mask,Pose Missing Ratio,0.3211,0.3044,yes,
Semantic Mask,Sem. Mask,Switching Frequency,0.0367,0.0253,yes,
Temporal Consistency,Temp. Cons.,ATE (m),0.2424,0.2317,yes,
Temporal Consistency,Temp. Cons.,RPE (m),0.0296,0.0105,yes,
Temporal Consistency,Temp. Cons.,Pose Missing Ratio,0.4211,0.4176,yes,
Temporal Consistency,Temp. Cons.,Switching Frequency,0.0259,0.0201,yes,
Object-level Semantic Map,Object Map,ATE (m),0.5620,0.2708,yes,
Object-level Semantic Map,Object Map,RPE (m),0.0598,0.0432,yes,
Object-level Semantic Map,Object Map,Pose Missing Ratio,0.2312,0.1625,yes,
Object-level Semantic Map,Object Map,Switching Frequency,0.0388,0.0165,yes,
Full Model,Full Model,ATE (m),0.2660,0.2902,yes,
Full Model,Full Model,RPE (m),0.0244,0.0074,yes,
Full Model,Full Model,Pose Missing Ratio,0.4615,0.4045,yes,
Full Model,Full Model,Switching Frequency,0.0216,0.0217,yes,
