sequence,method,ATE_RMSE,ATE_mean,RPE_trans,RPE_rot,tracked_frames,keyframes
fr3_walking_xyz,baseline,0.745552069,0.686975067,0.029168398,0.674883165,562,246
fr3_walking_xyz,paper1,0.751667374,0.689691191,0.020589209,0.509030047,827,309
fr3_walking_xyz,shadow,0.571049695,0.504861122,0.020219362,0.514203324,827,317
fr3_walking_xyz,active,0.598145588,0.530894163,0.020517746,0.516467442,827,298
fr3_walking_rpy,baseline,1.121807777,0.951351372,0.129090307,2.212913492,836,362
fr3_walking_rpy,paper1,1.032187791,0.915604696,0.059162243,1.013813510,547,219
fr3_walking_rpy,shadow,0.882433973,0.774227646,0.051775952,0.877386862,548,235
fr3_walking_rpy,active,0.229810023,0.196864273,0.047588090,0.882494210,371,174
fr3_walking_halfsphere,baseline,0.366398000,0.260631708,0.050477652,1.331841806,573,229
fr3_walking_halfsphere,paper1,0.478962046,0.457083426,0.020469872,0.513545855,915,253
fr3_walking_halfsphere,shadow,0.447759473,0.398584237,0.020275699,0.525027258,1021,299
fr3_walking_halfsphere,active,0.426865554,0.389275919,0.042872758,0.904923734,575,113
