# object_id class_id class_name first_frame last_frame observations bbox_left bbox_top bbox_right bbox_bottom center_x center_y center_z
3 1 static_group 1 1020 986 205.000000 187.000000 266.000000 260.000000 -0.547136366 0.284700930 2.822395802
18 1 static_group 3 1020 1255 365.000000 163.000000 509.000000 264.000000 0.579556525 0.194644034 2.617704153
1 2 low_dynamic_group 1 1020 528 40.000000 302.000000 216.000000 475.000000 0.432681024 0.811644733 1.722705722
0 2 low_dynamic_group 1 970 421 98.000000 353.000000 304.000000 480.000000 -0.854443550 0.791386604 1.885632157
645 1 static_group 210 536 156 172.000000 134.000000 275.000000 212.000000 -0.394230664 -0.052236889 1.239081740
297 2 low_dynamic_group 136 1011 8 62.000000 275.000000 260.000000 474.000000 -0.815264463 0.618838251 2.549115419
249 2 low_dynamic_group 123 1020 152 415.000000 305.000000 609.000000 480.000000 1.127843261 0.820390165 2.324906588
269 2 low_dynamic_group 127 536 16 4.000000 299.000000 207.000000 478.000000 -1.247873425 1.108357787 3.071165085
713 2 low_dynamic_group 224 633 112 112.000000 430.000000 266.000000 480.000000 -0.246621549 0.387628824 1.345534563
2086 2 low_dynamic_group 430 431 4 385.000000 212.000000 604.000000 444.000000 0.092198521 0.492406905 1.347393513
1474 2 low_dynamic_group 360 491 54 12.000000 249.000000 222.000000 471.000000 -1.038424730 1.312913775 2.337342739
1138 1 static_group 314 321 28 0.000000 218.000000 136.000000 323.000000 -0.940598905 0.455244422 3.284939051
2695 1 static_group 545 548 6 161.000000 146.000000 229.000000 221.000000 -2.618594170 -0.895151794 7.616855621
2713 1 static_group 554 1013 105 378.000000 147.000000 519.000000 252.000000 1.172989488 0.201608479 3.013389587
2664 1 static_group 537 953 64 237.000000 170.000000 349.000000 322.000000 0.146212518 0.166755304 1.663842916
2756 1 static_group 575 605 37 168.000000 302.000000 276.000000 389.000000 0.447551072 0.188390464 1.729282260
2887 1 static_group 597 597 1 175.000000 286.000000 287.000000 383.000000 0.270804882 0.210572794 1.699957848
2853 1 static_group 591 591 2 123.000000 191.000000 184.000000 271.000000 -0.714673460 -0.365314960 2.408522129
3125 2 low_dynamic_group 668 1009 6 69.000000 266.000000 291.000000 475.000000 -0.226425692 0.443148434 2.639686823
3367 1 static_group 746 876 8 328.000000 174.000000 485.000000 346.000000 0.380345702 0.877212822 2.776290417
3519 1 static_group 811 819 18 389.000000 224.000000 581.000000 390.000000 0.942111611 -0.046872701 1.013932943
3533 2 low_dynamic_group 818 821 8 135.000000 311.000000 311.000000 479.000000 -0.462401122 -0.336324990 2.462213755
3285 2 low_dynamic_group 729 948 26 518.000000 188.000000 640.000000 469.000000 1.148740172 0.280911863 2.643486977
3463 1 static_group 790 984 16 460.000000 249.000000 628.000000 360.000000 1.195630908 0.513203025 2.382903576
3464 1 static_group 790 794 10 204.000000 39.000000 363.000000 285.000000 -2.287564516 -1.397761703 7.066713333
3549 2 low_dynamic_group 823 831 14 173.000000 419.000000 318.000000 479.000000 0.588956237 -0.199095234 0.914807320
3695 1 static_group 938 943 10 319.000000 108.000000 494.000000 284.000000 -1.278222322 -1.316820860 7.005328178
3765 2 low_dynamic_group 958 970 26 471.000000 325.000000 635.000000 480.000000 1.244396687 0.682144642 1.775445342
3801 1 static_group 964 964 2 56.000000 150.000000 141.000000 248.000000 -6.573314667 0.076880381 6.838801384
3709 1 static_group 944 1019 16 207.000000 181.000000 267.000000 257.000000 0.051702861 -0.233321488 2.709117174
3911 2 low_dynamic_group 990 995 12 174.000000 328.000000 338.000000 479.000000 0.051189240 1.113579035 2.278677464
