# object_id class_id class_name first_frame last_frame observations bbox_left bbox_top bbox_right bbox_bottom center_x center_y center_z
48 2 low_dynamic_group 16 657 269 1.000000 55.000000 146.000000 302.000000 0.554803252 1.058465123 2.186107159
0 2 low_dynamic_group 1 572 200 41.000000 0.000000 192.000000 91.000000 -0.705550909 0.512587607 1.881420612
2 1 static_group 1 664 363 189.000000 0.000000 303.000000 79.000000 0.557017863 0.104856305 2.637143135
13 1 static_group 3 622 357 136.000000 218.000000 227.000000 305.000000 -0.534086585 0.046072815 2.716419697
89 2 low_dynamic_group 22 609 84 0.000000 183.000000 71.000000 374.000000 0.330890745 0.155115038 1.572972536
182 2 low_dynamic_group 42 560 196 21.000000 0.000000 174.000000 126.000000 -0.837708831 1.055263638 2.681894302
460 1 static_group 125 267 38 549.000000 125.000000 639.000000 227.000000 -0.674603045 -0.009111361 1.698330283
603 1 static_group 220 498 64 144.000000 103.000000 246.000000 180.000000 -0.837752581 0.000154651 3.466800213
509 1 static_group 141 668 48 322.000000 60.000000 500.000000 245.000000 1.652170181 0.171252400 1.976540446
531 1 static_group 190 614 82 319.000000 112.000000 465.000000 226.000000 0.089848079 -0.052071702 3.215184450
573 2 low_dynamic_group 211 619 20 359.000000 254.000000 565.000000 480.000000 0.571758032 0.737881541 3.503607750
980 1 static_group 472 642 70 177.000000 142.000000 281.000000 232.000000 -0.434131354 0.708253384 3.345690727
669 2 low_dynamic_group 240 564 4 23.000000 0.000000 177.000000 114.000000 -1.214075565 0.734130681 3.750875235
992 1 static_group 482 649 64 365.000000 138.000000 534.000000 278.000000 0.941752851 0.541018188 3.281672239
739 2 low_dynamic_group 273 666 14 0.000000 6.000000 115.000000 211.000000 -0.084523842 0.587396324 2.799338818
1987 2 low_dynamic_group 665 665 2 0.000000 6.000000 98.000000 220.000000 0.312451661 0.399746120 2.303520679
715 1 static_group 263 263 2 3.000000 0.000000 145.000000 71.000000 -4.483465672 -2.195409536 3.465698481
1571 2 low_dynamic_group 592 614 36 349.000000 173.000000 566.000000 472.000000 1.101577520 0.138860077 3.348100185
974 2 low_dynamic_group 395 395 2 65.000000 389.000000 185.000000 479.000000 -0.602199972 0.257574677 1.274933815
983 1 static_group 480 645 7 152.000000 35.000000 217.000000 123.000000 0.325365067 0.614337265 2.449955463
1908 2 low_dynamic_group 652 653 4 41.000000 116.000000 169.000000 324.000000 0.225847140 1.082636118 2.762864351
1522 2 low_dynamic_group 563 563 2 26.000000 0.000000 177.000000 119.000000 -0.929389715 0.777598858 3.427720785
1530 2 low_dynamic_group 565 565 2 27.000000 0.000000 182.000000 114.000000 -0.722371221 0.413590342 2.582332134
1641 2 low_dynamic_group 609 633 24 374.000000 360.000000 588.000000 477.000000 1.082348704 0.951992154 2.950170279
1554 2 low_dynamic_group 579 580 4 46.000000 0.000000 189.000000 97.000000 -0.595280766 -0.048669282 3.059286594
1655 1 static_group 612 665 4 185.000000 0.000000 299.000000 69.000000 0.518736720 -0.455349624 2.980566025
1923 2 low_dynamic_group 654 654 2 309.000000 331.000000 497.000000 476.000000 1.738342524 1.146361113 6.306502342
1780 2 low_dynamic_group 634 644 20 350.000000 342.000000 552.000000 475.000000 1.431231976 0.912485480 2.177344084
1642 1 static_group 609 611 6 317.000000 92.000000 463.000000 203.000000 -0.141495511 -2.075196743 7.570937157
1690 1 static_group 620 623 8 123.000000 229.000000 232.000000 314.000000 -0.049307704 0.413585335 2.209417105
