frame_id dynamic_keypoints dynamic_map_points suppressed_map_points dynamic_objects static_objects total_objects
1 409 0 0 2 3 5
1 409 0 0 2 3 5
2 381 0 0 2 3 5
2 381 0 0 2 3 5
3 549 0 0 2 3 5
3 549 0 0 2 3 5
4 567 0 0 2 2 4
4 567 0 0 2 2 4
5 593 0 0 2 0 2
5 593 0 0 2 0 2
6 590 0 0 2 0 2
6 590 0 0 2 0 2
7 593 0 0 2 0 2
7 593 0 0 2 0 2
8 571 0 0 2 1 3
8 571 0 0 2 1 3
9 579 0 0 2 1 3
9 579 0 0 2 1 3
10 577 0 0 2 2 4
10 577 0 0 2 2 4
11 584 0 0 2 2 4
11 584 0 0 2 2 4
12 601 0 0 2 1 3
12 601 0 0 2 1 3
13 566 0 0 2 2 4
13 566 0 0 2 2 4
14 576 0 0 2 2 4
14 576 0 0 2 2 4
15 601 0 0 2 2 4
15 601 0 0 2 2 4
16 593 0 0 2 3 5
16 593 0 0 2 3 5
17 580 0 0 2 4 6
17 580 0 0 2 4 6
18 579 0 0 2 4 6
18 579 0 0 2 4 6
19 621 0 0 2 3 5
19 621 0 0 2 3 5
20 632 0 0 2 3 5
20 632 0 0 2 3 5
21 616 0 0 2 3 5
21 616 0 0 2 3 5
22 462 0 0 2 5 7
22 462 0 0 2 5 7
23 491 0 0 2 5 7
23 491 0 0 2 5 7
24 625 0 0 2 5 7
24 625 0 0 2 5 7
25 618 0 0 2 4 6
25 618 0 0 2 4 6
26 620 0 0 2 3 5
26 620 0 0 2 3 5
27 616 0 0 2 4 6
27 616 0 0 2 4 6
28 631 0 0 2 4 6
28 631 0 0 2 4 6
29 626 0 0 2 3 5
29 626 0 0 2 3 5
30 651 0 0 2 3 5
30 651 0 0 2 3 5
31 625 0 0 2 3 5
31 625 0 0 2 3 5
32 767 0 0 2 1 3
32 767 0 0 2 1 3
33 687 0 0 2 2 4
33 687 0 0 2 2 4
34 767 0 0 2 1 3
34 767 0 0 2 1 3
35 637 0 0 2 2 4
35 637 0 0 2 2 4
36 747 0 0 2 0 3
36 747 0 0 2 0 3
37 623 0 0 2 2 4
37 623 0 0 2 2 4
338 48 0 0 1 4 5
339 44 0 0 1 4 5
339 44 0 0 1 4 5
340 36 0 0 1 4 5
340 36 0 0 1 4 5
341 0 0 0 0 4 4
341 0 0 0 0 4 4
342 37 0 0 1 4 5
342 37 0 0 1 4 5
343 0 0 0 0 4 4
343 0 0 0 0 4 4
344 0 0 0 0 5 5
344 0 0 0 0 5 5
345 0 0 0 0 5 5
345 0 0 0 0 5 5
346 0 0 0 0 4 4
346 0 0 0 0 4 4
347 0 0 0 0 5 5
347 0 0 0 0 5 5
348 0 0 0 0 5 5
348 0 0 0 0 5 5
349 0 0 0 0 4 4
349 0 0 0 0 4 4
350 0 0 0 0 5 5
350 0 0 0 0 5 5
351 0 0 0 0 4 5
351 0 0 0 0 4 5
352 0 0 0 0 5 5
352 0 0 0 0 5 5
353 0 0 0 0 5 6
353 0 0 0 0 5 6
354 0 0 0 0 5 5
354 0 0 0 0 5 5
355 0 0 0 0 5 5
355 0 0 0 0 5 5
356 0 0 0 0 5 5
356 0 0 0 0 5 5
357 0 0 0 0 5 5
357 0 0 0 0 5 5
358 0 0 0 0 5 5
358 0 0 0 0 5 5
359 0 0 0 0 5 5
359 0 0 0 0 5 5
360 0 0 0 0 5 5
360 0 0 0 0 5 5
361 0 0 0 0 5 6
361 0 0 0 0 5 6
362 0 0 0 0 4 5
362 0 0 0 0 4 5
363 0 0 0 0 4 4
363 0 0 0 0 4 4
364 0 0 0 0 6 6
364 0 0 0 0 6 6
365 0 0 0 0 5 5
365 0 0 0 0 5 5
366 0 0 0 0 5 5
366 0 0 0 0 5 5
367 0 0 0 0 4 4
367 0 0 0 0 4 4
368 0 0 0 0 4 4
368 0 0 0 0 4 4
369 7 0 0 1 4 5
369 7 0 0 1 4 5
370 0 0 0 0 4 4
370 0 0 0 0 4 4
371 0 0 0 0 4 4
371 0 0 0 0 4 4
372 0 0 0 0 4 4
372 0 0 0 0 4 4
373 22 0 0 1 4 5
373 22 0 0 1 4 5
374 28 0 0 1 4 5
374 28 0 0 1 4 5
375 32 0 0 1 4 5
375 32 0 0 1 4 5
376 31 0 0 1 5 6
376 31 0 0 1 5 6
377 28 0 0 1 4 5
377 28 0 0 1 4 5
378 21 0 0 1 4 5
378 21 0 0 1 4 5
