# object_id class_id class_name first_frame last_frame observations bbox_left bbox_top bbox_right bbox_bottom center_x center_y center_z
3 2 low_dynamic_group 1 793 388 1.000000 277.000000 162.000000 477.000000 -0.639326751 0.458947897 2.523758888
4 2 low_dynamic_group 1 826 998 388.000000 319.000000 635.000000 480.000000 0.398465812 0.502672195 2.028582335
0 1 static_group 1 826 1180 354.000000 163.000000 472.000000 277.000000 0.586688280 -0.028950572 2.890897036
1 1 static_group 1 826 1031 144.000000 179.000000 251.000000 255.000000 -0.437637180 -0.007642876 3.208162546
248 2 low_dynamic_group 35 716 148 545.000000 355.000000 640.000000 480.000000 0.905312657 0.681806862 2.897684574
538 1 static_group 100 715 207 168.000000 143.000000 253.000000 284.000000 -0.416939974 0.104221173 1.712706923
748 2 low_dynamic_group 146 687 108 165.000000 326.000000 281.000000 463.000000 -0.697030544 0.651679635 3.373733282
928 1 static_group 193 195 6 279.000000 174.000000 387.000000 324.000000 -2.125312328 -1.833519936 7.897701740
963 2 low_dynamic_group 200 654 51 422.000000 371.000000 627.000000 480.000000 -0.283614248 0.334206283 1.529140949
870 1 static_group 182 189 16 254.000000 164.000000 352.000000 304.000000 -2.830801725 -1.320758104 8.183643341
950 1 static_group 197 197 2 275.000000 176.000000 390.000000 327.000000 -1.000078678 -0.718565702 2.997328281
1082 1 static_group 240 240 2 362.000000 300.000000 506.000000 407.000000 0.985525370 0.211347580 3.279636621
1759 1 static_group 378 561 41 120.000000 254.000000 236.000000 344.000000 -0.501355112 0.157568648 2.414284229
1758 2 low_dynamic_group 378 715 16 567.000000 361.000000 640.000000 475.000000 1.042810559 0.838014543 2.355258703
2080 1 static_group 430 624 105 131.000000 213.000000 234.000000 296.000000 -0.670002639 0.026846439 3.725999117
2096 2 low_dynamic_group 433 627 18 49.000000 297.000000 217.000000 468.000000 -0.745508254 0.279453039 3.820857763
1988 2 low_dynamic_group 416 668 108 135.000000 314.000000 262.000000 474.000000 -0.741314232 0.984911919 3.832041264
2118 1 static_group 442 446 4 306.000000 132.000000 446.000000 231.000000 0.325804949 -0.588855267 3.168048859
2004 1 static_group 419 495 8 178.000000 256.000000 272.000000 330.000000 -0.503064156 0.336337507 3.633004904
2091 2 low_dynamic_group 432 444 6 331.000000 210.000000 466.000000 428.000000 0.596486568 0.120299101 2.991938114
2132 1 static_group 444 445 4 307.000000 124.000000 444.000000 223.000000 2.395128965 -2.097077608 7.091122627
2356 2 low_dynamic_group 473 474 4 42.000000 345.000000 116.000000 456.000000 -1.062295198 0.954193532 4.847305298
2731 2 low_dynamic_group 519 524 12 195.000000 307.000000 326.000000 480.000000 -0.099978857 0.645170927 3.519782066
3257 2 low_dynamic_group 595 595 1 391.000000 176.000000 496.000000 298.000000 -0.454026461 -0.068126112 1.854700565
3344 1 static_group 609 609 2 42.000000 141.000000 106.000000 229.000000 -0.305760741 0.015261337 11.507390022
3314 1 static_group 604 606 6 41.000000 128.000000 106.000000 221.000000 -0.436812669 -0.279898226 9.245304108
3833 1 static_group 706 721 30 423.000000 220.000000 521.000000 303.000000 0.191234469 0.204379901 2.030712366
3394 2 low_dynamic_group 622 622 2 0.000000 343.000000 54.000000 469.000000 -1.232237101 1.212179303 4.195541382
3685 2 low_dynamic_group 673 673 2 391.000000 378.000000 459.000000 479.000000 0.363607049 1.019308209 3.198904037
