sequence,run_id,original_status,exit_code,raw_process_status,experiment_completion_status,completion_evidence,association_total_frames,trajectory_valid_poses,ATE_RMSE,ATE_mean,ATE_median,ATE_std,RPE_translation_RMSE,RPE_rotation_RMSE,tracking_gap_episodes,tracking_success_rate,pose_missing_ratio,tracking_FPS,end_to_end_FPS,runtime_seconds,has_legal_evaluation,run_dir
fr3_walking_xyz,run_01,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,827,827,0.502110916,0.435710279,0.424884592,0.249543433,0.020389910,0.493464017,0,1.000000000,0.000000000,9.046417166,6.693823703,123.546725567,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_xyz/run_01
fr3_walking_xyz,run_02,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,827,827,0.517861476,0.448701645,0.445726992,0.258548530,0.019272012,0.499415146,0,1.000000000,0.000000000,9.199208868,7.140240279,115.822432814,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_xyz/run_02
fr3_walking_xyz,run_03,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,827,827,0.576412738,0.510721949,0.493893085,0.267235354,0.020116826,0.508626483,0,1.000000000,0.000000000,9.168087720,7.118759817,116.171920567,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_xyz/run_03
fr3_walking_xyz,run_04,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,827,827,0.592021044,0.523913749,0.544048746,0.275686961,0.020691096,0.509550941,0,1.000000000,0.000000000,8.907257634,6.998454836,118.168941493,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_xyz/run_04
fr3_walking_xyz,run_05,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,827,827,0.506151054,0.439495390,0.435402491,0.251063123,0.019571201,0.493145073,0,1.000000000,0.000000000,9.196586227,7.158712807,115.523561616,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_xyz/run_05
fr3_walking_rpy,run_01,interrupted,130,exit_130,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,866,503,0.708896839,0.583208557,0.472012706,0.402991945,0.050499343,0.948180727,8,0.580831409,0.419168591,3.605539551,3.202998608,270.371644193,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_rpy/run_01
fr3_walking_rpy,run_02,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,866,34,0.031456029,0.023655517,0.017514541,0.020733988,0.019123255,0.508197725,1,0.039260970,0.960739030,3.649168902,3.241938796,267.124105208,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_rpy/run_02
fr3_walking_rpy,run_03,interrupted,130,exit_130,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,866,160,0.036663691,0.024951993,0.019029103,0.026863065,0.027178481,0.613623962,5,0.184757506,0.815242494,3.624146966,3.234662514,267.724993354,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_rpy/run_03
fr3_walking_rpy,run_04,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,866,376,0.730244286,0.693821909,0.751424578,0.227745198,0.115850294,2.444979741,4,0.434180139,0.565819861,3.618363921,3.244403612,266.921167529,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_rpy/run_04
fr3_walking_rpy,run_05,success,0,exit_0,completed,slam_marker=1;trajectory_nonempty=1;evaluation_nonempty=1;fatal_patterns=none,866,377,0.819464633,0.771095467,0.853770440,0.277369906,0.130441295,2.830684629,3,0.435334873,0.564665127,3.704183876,3.297038012,262.659998717,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/01_tum_full/fr3_walking_rpy/run_05
