frame_id dynamic_keypoints dynamic_map_points suppressed_map_points dynamic_objects static_objects total_objects
1 409 0 0 2 3 5
1 409 0 0 2 3 5
2 379 0 0 2 3 5
2 379 0 0 2 3 5
3 549 0 0 2 3 5
3 549 0 0 2 3 5
4 570 0 0 2 2 4
4 570 0 0 2 2 4
5 593 0 0 2 0 2
5 593 0 0 2 0 2
6 592 0 0 2 0 2
6 592 0 0 2 0 2
7 592 0 0 2 0 2
7 592 0 0 2 0 2
8 571 0 0 2 1 3
8 571 0 0 2 1 3
9 576 0 0 2 1 3
9 576 0 0 2 1 3
10 571 0 0 2 2 4
10 571 0 0 2 2 4
11 585 0 0 2 2 4
11 585 0 0 2 2 4
12 601 0 0 2 1 3
12 601 0 0 2 1 3
13 570 0 0 2 2 4
13 570 0 0 2 2 4
14 576 0 0 2 2 4
14 576 0 0 2 2 4
15 601 0 0 2 2 4
15 601 0 0 2 2 4
16 598 0 0 2 3 5
16 598 0 0 2 3 5
17 581 0 0 2 4 6
17 581 0 0 2 4 6
18 576 0 0 2 4 6
18 576 0 0 2 4 6
19 624 0 0 2 3 5
19 624 0 0 2 3 5
20 630 0 0 2 3 5
20 630 0 0 2 3 5
21 614 0 0 2 3 5
21 614 0 0 2 3 5
22 463 0 0 2 5 7
22 463 0 0 2 5 7
23 494 0 0 2 5 7
23 494 0 0 2 5 7
24 626 0 0 2 5 7
24 626 0 0 2 5 7
25 618 0 0 2 4 6
25 618 0 0 2 4 6
26 620 0 0 2 3 5
26 620 0 0 2 3 5
27 616 0 0 2 4 6
27 616 0 0 2 4 6
28 626 0 0 2 4 6
28 626 0 0 2 4 6
29 626 0 0 2 3 5
29 626 0 0 2 3 5
30 651 0 0 2 3 5
30 651 0 0 2 3 5
31 624 0 0 2 3 5
31 624 0 0 2 3 5
32 768 0 0 2 1 3
32 768 0 0 2 1 3
33 684 0 0 2 2 4
33 684 0 0 2 2 4
34 769 0 0 2 1 3
34 769 0 0 2 1 3
46 555 0 0 2 2 4
47 535 0 0 2 2 4
47 535 0 0 2 2 4
48 519 0 0 2 2 4
48 519 0 0 2 2 4
49 514 0 0 2 2 4
49 514 0 0 2 2 4
50 527 0 0 2 2 4
50 527 0 0 2 2 4
51 530 0 0 2 2 4
51 530 0 0 2 2 4
52 527 0 0 2 2 4
52 527 0 0 2 2 4
53 554 0 0 2 2 4
53 554 0 0 2 2 4
54 556 0 0 2 2 4
54 556 0 0 2 2 4
55 551 0 0 2 2 4
55 551 0 0 2 2 4
56 554 0 0 2 2 4
56 554 0 0 2 2 4
57 529 0 0 2 2 4
57 529 0 0 2 2 4
58 527 0 0 2 2 4
58 527 0 0 2 2 4
59 481 0 0 2 2 4
59 481 0 0 2 2 4
60 474 0 0 2 2 4
60 474 0 0 2 2 4
61 432 0 0 2 2 4
61 432 0 0 2 2 4
62 431 0 0 2 2 4
62 431 0 0 2 2 4
63 461 0 0 2 2 4
63 461 0 0 2 2 4
64 421 0 0 2 2 4
64 421 0 0 2 2 4
65 402 0 0 2 2 4
65 402 0 0 2 2 4
66 427 0 0 2 2 4
66 427 0 0 2 2 4
67 432 0 0 2 2 4
67 432 0 0 2 2 4
68 409 0 0 2 2 4
68 409 0 0 2 2 4
69 442 0 0 2 2 4
69 442 0 0 2 2 4
70 416 0 0 2 2 4
70 416 0 0 2 2 4
71 409 0 0 2 2 4
71 409 0 0 2 2 4
72 434 0 0 2 2 4
72 434 0 0 2 2 4
73 454 0 0 2 2 4
73 454 0 0 2 2 4
74 480 0 0 2 2 4
74 480 0 0 2 2 4
75 451 0 0 2 3 5
75 451 0 0 2 3 5
76 459 0 0 2 3 5
76 459 0 0 2 3 5
77 523 0 0 2 3 5
77 523 0 0 2 3 5
78 510 0 0 2 3 5
78 510 0 0 2 3 5
79 505 0 0 2 2 4
79 505 0 0 2 2 4
80 544 0 0 2 2 4
80 544 0 0 2 2 4
81 524 0 0 2 2 4
81 524 0 0 2 2 4
82 564 0 0 2 2 4
82 564 0 0 2 2 4
83 439 0 0 2 4 6
83 439 0 0 2 4 6
84 595 0 0 2 2 4
84 595 0 0 2 2 4
85 587 0 0 2 2 4
85 587 0 0 2 2 4
86 618 0 0 2 3 5
86 618 0 0 2 3 5
87 595 0 0 2 3 5
87 595 0 0 2 3 5
88 608 0 0 2 3 5
88 608 0 0 2 3 5
89 644 0 0 2 2 4
89 644 0 0 2 2 4
