frame_id dynamic_keypoints dynamic_map_points suppressed_map_points dynamic_objects static_objects total_objects
1 274 0 0 2 4 6
1 274 0 0 2 4 6
2 255 0 0 2 4 6
2 255 0 0 2 4 6
3 227 0 0 2 5 7
3 227 0 0 2 5 7
4 260 0 0 2 3 5
4 260 0 0 2 3 5
5 338 0 0 2 2 4
5 338 0 0 2 2 4
6 400 0 0 2 0 2
6 400 0 0 2 0 2
7 385 0 0 2 1 3
7 385 0 0 2 1 3
8 261 0 0 2 4 6
8 261 0 0 2 4 6
9 245 0 0 2 4 6
9 245 0 0 2 4 6
10 254 0 0 2 4 6
10 254 0 0 2 4 6
11 252 0 0 2 3 5
11 252 0 0 2 3 5
12 198 0 0 2 5 7
12 198 0 0 2 5 7
13 271 0 0 2 4 6
13 271 0 0 2 4 6
14 289 0 0 2 3 5
14 289 0 0 2 3 5
15 318 0 0 2 2 4
15 318 0 0 2 2 4
16 307 0 0 2 2 4
16 307 0 0 2 2 4
17 394 0 0 2 1 3
17 394 0 0 2 1 3
18 350 0 0 2 1 3
18 350 0 0 2 1 3
19 387 0 0 2 1 3
19 387 0 0 2 1 3
20 403 0 0 2 1 3
20 403 0 0 2 1 3
21 353 0 0 2 2 4
21 353 0 0 2 2 4
22 350 0 0 2 2 4
22 350 0 0 2 2 4
23 348 0 0 2 3 5
23 348 0 0 2 3 5
24 384 0 0 2 3 5
24 384 0 0 2 3 5
25 507 0 0 2 3 5
25 507 0 0 2 3 5
26 555 0 0 2 3 5
26 555 0 0 2 3 5
27 466 0 0 2 4 6
27 466 0 0 2 4 6
28 463 0 0 2 4 6
28 463 0 0 2 4 6
29 484 0 0 2 4 6
29 484 0 0 2 4 6
30 537 0 0 2 2 4
30 537 0 0 2 2 4
31 503 0 0 2 2 4
31 503 0 0 2 2 4
32 470 0 0 2 2 4
32 470 0 0 2 2 4
33 494 0 0 2 3 5
33 494 0 0 2 3 5
34 485 0 0 2 1 3
34 485 0 0 2 1 3
35 456 0 0 2 3 5
35 456 0 0 2 3 5
36 464 0 0 2 3 5
36 464 0 0 2 3 5
37 497 0 0 2 2 4
37 497 0 0 2 2 4
38 486 0 0 2 1 3
38 486 0 0 2 1 3
39 437 0 0 2 1 3
39 437 0 0 2 1 3
40 462 0 0 2 1 3
40 462 0 0 2 1 3
41 449 0 0 2 1 3
41 449 0 0 2 1 3
42 422 0 0 2 1 4
42 422 0 0 2 1 4
43 420 0 0 2 1 4
43 420 0 0 2 1 4
44 388 0 0 2 1 3
44 388 0 0 2 1 3
45 347 0 0 1 2 3
45 347 0 0 1 2 3
46 333 0 0 1 1 2
46 333 0 0 1 1 2
47 346 0 0 1 2 3
47 346 0 0 1 2 3
48 301 0 0 1 2 3
48 301 0 0 1 2 3
49 287 0 0 1 1 2
49 287 0 0 1 1 2
50 316 0 0 1 1 2
50 316 0 0 1 1 2
51 328 0 0 1 3 4
51 328 0 0 1 3 4
52 292 0 0 1 2 3
52 292 0 0 1 2 3
53 308 0 0 1 3 4
53 308 0 0 1 3 4
54 355 0 0 1 2 3
54 355 0 0 1 2 3
55 368 0 0 2 1 3
55 368 0 0 2 1 3
56 371 0 0 2 2 4
56 371 0 0 2 2 4
57 397 0 0 2 2 4
57 397 0 0 2 2 4
58 438 0 0 2 3 5
58 438 0 0 2 3 5
59 448 0 0 2 2 4
59 448 0 0 2 2 4
60 472 0 0 2 2 4
60 472 0 0 2 2 4
61 519 0 0 2 1 3
61 519 0 0 2 1 3
62 499 0 0 2 1 3
62 499 0 0 2 1 3
63 497 0 0 2 1 3
63 497 0 0 2 1 3
64 546 0 0 2 1 3
64 546 0 0 2 1 3
65 562 0 0 2 1 3
65 562 0 0 2 1 3
66 581 0 0 2 2 4
66 581 0 0 2 2 4
67 587 0 0 2 1 3
67 587 0 0 2 1 3
68 669 0 0 2 1 3
68 669 0 0 2 1 3
69 612 0 0 2 1 3
69 612 0 0 2 1 3
70 624 0 0 2 1 3
70 624 0 0 2 1 3
71 665 0 0 2 1 3
71 665 0 0 2 1 3
72 635 0 0 2 1 3
72 635 0 0 2 1 3
73 668 0 0 2 1 3
73 668 0 0 2 1 3
74 696 0 0 2 1 3
74 696 0 0 2 1 3
75 719 0 0 2 1 3
75 719 0 0 2 1 3
76 701 0 0 2 1 3
76 701 0 0 2 1 3
77 722 0 0 2 1 3
77 722 0 0 2 1 3
78 705 0 0 2 1 3
78 705 0 0 2 1 3
79 715 0 0 2 1 3
79 715 0 0 2 1 3
80 703 0 0 2 1 3
80 703 0 0 2 1 3
81 689 0 0 2 1 3
81 689 0 0 2 1 3
82 666 0 0 2 2 4
82 666 0 0 2 2 4
83 646 0 0 2 2 4
83 646 0 0 2 2 4
84 668 0 0 2 2 4
84 668 0 0 2 2 4
85 638 0 0 2 2 4
85 638 0 0 2 2 4
86 649 0 0 2 2 4
86 649 0 0 2 2 4
87 613 0 0 2 2 4
87 613 0 0 2 2 4
88 567 0 0 2 2 4
88 567 0 0 2 2 4
89 587 0 0 2 1 3
89 587 0 0 2 1 3
90 568 0 0 2 1 3
90 568 0 0 2 1 3
91 532 0 0 2 2 4
91 532 0 0 2 2 4
92 546 0 0 2 0 2
92 546 0 0 2 0 2
93 538 0 0 2 1 3
93 538 0 0 2 1 3
94 486 0 0 2 1 3
94 486 0 0 2 1 3
95 464 0 0 2 1 3
95 464 0 0 2 1 3
96 428 0 0 2 2 4
96 428 0 0 2 2 4
97 456 0 0 2 2 4
97 456 0 0 2 2 4
98 407 0 0 2 2 4
98 407 0 0 2 2 4
99 384 0 0 2 1 3
99 384 0 0 2 1 3
100 375 0 0 2 2 4
100 375 0 0 2 2 4
101 304 0 0 2 2 4
101 304 0 0 2 2 4
102 312 0 0 2 2 4
102 312 0 0 2 2 4
103 294 0 0 2 2 4
103 294 0 0 2 2 4
104 216 0 0 1 3 4
104 216 0 0 1 3 4
105 232 0 0 1 2 3
105 232 0 0 1 2 3
106 228 0 0 1 3 4
106 228 0 0 1 3 4
107 222 0 0 1 3 4
107 222 0 0 1 3 4
108 188 0 0 1 3 4
108 188 0 0 1 3 4
109 193 0 0 1 4 5
109 193 0 0 1 4 5
110 235 0 0 1 4 5
110 235 0 0 1 4 5
111 200 0 0 1 3 4
111 200 0 0 1 3 4
112 235 0 0 1 3 4
112 235 0 0 1 3 4
113 221 0 0 1 2 3
113 221 0 0 1 2 3
114 259 0 0 1 2 3
114 259 0 0 1 2 3
115 297 0 0 1 1 2
115 297 0 0 1 1 2
116 290 0 0 1 2 3
116 290 0 0 1 2 3
117 284 0 0 1 1 2
117 284 0 0 1 1 2
118 270 0 0 1 1 2
118 270 0 0 1 1 2
119 233 0 0 1 3 4
119 233 0 0 1 3 4
120 209 0 0 1 3 4
120 209 0 0 1 3 4
121 220 0 0 1 1 2
121 220 0 0 1 1 2
122 186 0 0 1 1 2
122 186 0 0 1 1 2
123 172 0 0 1 2 4
123 172 0 0 1 2 4
124 130 0 0 1 3 5
124 130 0 0 1 3 5
125 91 0 0 1 4 5
125 91 0 0 1 4 5
126 72 0 0 1 4 5
126 72 0 0 1 4 5
127 69 0 0 1 3 4
127 69 0 0 1 3 4
128 77 0 0 1 2 3
128 77 0 0 1 2 3
129 66 0 0 1 2 3
129 66 0 0 1 2 3
130 53 0 0 1 2 3
130 53 0 0 1 2 3
131 40 0 0 1 2 3
131 40 0 0 1 2 3
132 39 0 0 1 2 3
132 39 0 0 1 2 3
133 26 0 0 1 3 4
133 26 0 0 1 3 4
134 27 0 0 1 4 5
134 27 0 0 1 4 5
135 19 0 0 1 3 4
135 19 0 0 1 3 4
136 0 0 0 0 4 4
136 0 0 0 0 4 4
137 0 0 0 0 4 4
137 0 0 0 0 4 4
138 0 0 0 0 4 4
138 0 0 0 0 4 4
139 0 0 0 0 2 2
139 0 0 0 0 2 2
140 0 0 0 0 2 2
140 0 0 0 0 2 2
141 0 0 0 0 2 2
141 0 0 0 0 2 2
142 0 0 0 0 2 2
142 0 0 0 0 2 2
143 0 0 0 0 2 2
143 0 0 0 0 2 2
144 0 0 0 0 2 2
144 0 0 0 0 2 2
145 0 0 0 0 2 2
145 0 0 0 0 2 2
146 0 0 0 0 2 2
146 0 0 0 0 2 2
147 0 0 0 0 2 2
147 0 0 0 0 2 2
148 0 0 0 0 2 2
148 0 0 0 0 2 2
149 0 0 0 0 2 2
149 0 0 0 0 2 2
150 0 0 0 0 4 4
150 0 0 0 0 4 4
151 0 0 0 0 3 4
151 0 0 0 0 3 4
152 0 0 0 0 3 3
152 0 0 0 0 3 3
153 0 0 0 0 3 3
153 0 0 0 0 3 3
154 0 0 0 0 3 3
154 0 0 0 0 3 3
155 0 0 0 0 2 2
155 0 0 0 0 2 2
156 0 0 0 0 2 2
156 0 0 0 0 2 2
157 0 0 0 0 2 2
157 0 0 0 0 2 2
158 0 0 0 0 2 2
158 0 0 0 0 2 2
159 20 0 0 1 2 3
159 20 0 0 1 2 3
160 37 0 0 1 2 3
160 37 0 0 1 2 3
161 43 0 0 1 2 3
161 43 0 0 1 2 3
162 53 0 0 1 2 3
162 53 0 0 1 2 3
163 50 0 0 1 2 3
163 50 0 0 1 2 3
164 70 0 0 1 2 3
164 70 0 0 1 2 3
165 81 0 0 1 2 3
165 81 0 0 1 2 3
166 66 0 0 1 2 3
166 66 0 0 1 2 3
167 76 0 0 1 2 4
167 76 0 0 1 2 4
168 94 0 0 1 2 3
168 94 0 0 1 2 3
169 111 0 0 1 2 3
169 111 0 0 1 2 3
170 116 0 0 1 3 5
170 116 0 0 1 3 5
171 138 0 0 1 2 3
171 138 0 0 1 2 3
172 76 0 0 1 3 4
172 76 0 0 1 3 4
173 71 0 0 1 3 4
173 71 0 0 1 3 4
174 68 0 0 1 2 3
174 68 0 0 1 2 3
175 56 0 0 1 3 4
175 56 0 0 1 3 4
176 85 0 0 2 3 5
176 85 0 0 2 3 5
177 102 0 0 1 3 4
177 102 0 0 1 3 4
178 70 0 0 1 3 5
178 70 0 0 1 3 5
179 115 0 0 2 2 4
179 115 0 0 2 2 4
180 90 0 0 1 3 5
180 90 0 0 1 3 5
181 74 0 0 1 3 5
181 74 0 0 1 3 5
182 75 0 0 2 3 5
182 75 0 0 2 3 5
183 47 0 0 1 3 4
183 47 0 0 1 3 4
184 36 0 0 1 3 4
184 36 0 0 1 3 4
185 28 0 0 1 3 4
185 28 0 0 1 3 4
186 31 0 0 1 4 5
186 31 0 0 1 4 5
187 44 0 0 1 3 4
187 44 0 0 1 3 4
188 43 0 0 1 2 4
188 43 0 0 1 2 4
189 35 0 0 1 2 3
189 35 0 0 1 2 3
190 31 0 0 1 2 3
190 31 0 0 1 2 3
191 40 0 0 1 3 4
191 40 0 0 1 3 4
192 32 0 0 1 2 3
192 32 0 0 1 2 3
193 22 0 0 1 2 3
193 22 0 0 1 2 3
194 22 0 0 1 2 3
194 22 0 0 1 2 3
195 16 0 0 1 2 4
195 16 0 0 1 2 4
196 19 0 0 1 3 4
196 19 0 0 1 3 4
197 0 0 0 0 4 4
197 0 0 0 0 4 4
198 0 0 0 0 4 4
198 0 0 0 0 4 4
