frame_id dynamic_keypoints dynamic_map_points suppressed_map_points dynamic_objects static_objects total_objects
1 409 0 0 2 3 5
1 409 0 0 2 3 5
2 381 0 0 2 3 5
2 381 0 0 2 3 5
3 550 0 0 2 3 5
3 550 0 0 2 3 5
4 567 0 0 2 2 4
4 567 0 0 2 2 4
5 593 0 0 2 0 2
5 593 0 0 2 0 2
6 594 0 0 2 0 2
6 594 0 0 2 0 2
7 593 0 0 2 0 2
7 593 0 0 2 0 2
8 571 0 0 2 1 3
8 571 0 0 2 1 3
9 578 0 0 2 1 3
9 578 0 0 2 1 3
10 574 0 0 2 2 4
10 574 0 0 2 2 4
11 583 0 0 2 2 4
11 583 0 0 2 2 4
12 601 0 0 2 1 3
12 601 0 0 2 1 3
13 566 0 0 2 2 4
13 566 0 0 2 2 4
14 572 0 0 2 2 4
14 572 0 0 2 2 4
15 601 0 0 2 2 4
15 601 0 0 2 2 4
16 593 0 0 2 3 5
16 593 0 0 2 3 5
17 579 0 0 2 4 6
17 579 0 0 2 4 6
18 581 0 0 2 4 6
18 581 0 0 2 4 6
19 622 0 0 2 3 5
19 622 0 0 2 3 5
20 632 0 0 2 3 5
20 632 0 0 2 3 5
21 613 0 0 2 3 5
21 613 0 0 2 3 5
22 462 0 0 2 5 7
22 462 0 0 2 5 7
23 493 0 0 2 5 7
23 493 0 0 2 5 7
24 626 0 0 2 5 7
24 626 0 0 2 5 7
25 618 0 0 2 4 6
25 618 0 0 2 4 6
26 620 0 0 2 3 5
26 620 0 0 2 3 5
27 614 0 0 2 4 6
27 614 0 0 2 4 6
28 628 0 0 2 4 6
28 628 0 0 2 4 6
29 626 0 0 2 3 5
29 626 0 0 2 3 5
30 650 0 0 2 3 5
30 650 0 0 2 3 5
31 626 0 0 2 3 5
31 626 0 0 2 3 5
32 768 0 0 2 1 3
32 768 0 0 2 1 3
33 686 0 0 2 2 4
33 686 0 0 2 2 4
34 768 0 0 2 1 3
34 768 0 0 2 1 3
37 616 0 12 2 2 4
302 0 0 8 0 4 4
303 0 0 6 0 4 4
303 0 0 0 0 4 4
304 64 0 0 1 4 5
304 64 0 0 1 4 5
305 31 0 0 1 4 5
305 31 0 0 1 4 5
306 17 0 0 1 5 6
306 17 0 0 1 5 6
307 0 0 0 0 4 4
307 0 0 0 0 4 4
308 0 0 0 0 4 4
308 0 0 0 0 4 4
309 0 0 0 0 4 4
309 0 0 0 0 4 4
310 0 0 0 0 4 4
310 0 0 0 0 4 4
311 0 0 0 0 4 4
311 0 0 0 0 4 4
312 0 0 0 0 4 4
312 0 0 0 0 4 4
313 0 0 0 0 4 4
313 0 0 0 0 4 4
314 0 0 0 0 4 4
314 0 0 0 0 4 4
315 0 0 0 0 4 4
315 0 0 0 0 4 4
316 0 0 0 0 4 4
316 0 0 0 0 4 4
317 0 0 0 0 4 4
317 0 0 0 0 4 4
318 0 0 0 0 4 4
318 0 0 0 0 4 4
319 0 0 0 0 4 4
319 0 0 0 0 4 4
320 0 0 0 0 4 6
320 0 0 0 0 4 6
321 0 0 0 0 4 4
321 0 0 0 0 4 4
322 0 0 0 0 4 4
322 0 0 0 0 4 4
323 0 0 0 0 4 4
323 0 0 0 0 4 4
324 0 0 0 0 4 4
324 0 0 0 0 4 4
325 0 0 0 0 4 4
325 0 0 0 0 4 4
326 0 0 0 0 4 4
326 0 0 0 0 4 4
327 0 0 0 0 5 5
327 0 0 0 0 5 5
328 0 0 0 0 5 5
328 0 0 0 0 5 5
329 0 0 0 0 4 4
329 0 0 0 0 4 4
330 0 0 0 0 4 4
330 0 0 0 0 4 4
331 0 0 0 0 4 4
331 0 0 0 0 4 4
332 0 0 0 0 4 4
332 0 0 0 0 4 4
333 52 0 0 1 4 6
333 52 0 0 1 4 6
334 63 0 0 1 4 5
334 63 0 0 1 4 5
335 48 0 0 1 4 5
335 48 0 0 1 4 5
336 51 0 0 1 5 6
336 51 0 0 1 5 6
337 54 0 0 1 4 5
337 54 0 0 1 4 5
338 47 0 0 1 4 5
338 47 0 0 1 4 5
339 43 0 0 1 4 5
339 43 0 0 1 4 5
340 37 0 0 1 4 5
340 37 0 0 1 4 5
341 0 0 0 0 4 4
341 0 0 0 0 4 4
342 38 0 0 1 4 5
342 38 0 0 1 4 5
343 0 0 0 0 4 4
343 0 0 0 0 4 4
344 0 0 0 0 5 5
344 0 0 0 0 5 5
345 0 0 0 0 5 5
