method,sequence,run_id,original_status,raw_process_status,experiment_completion_status,exit_code,association_total_frames,trajectory_valid_poses,ATE_RMSE,ATE_mean,ATE_median,ATE_std,RPE_translation_RMSE,RPE_rotation_RMSE,TSR,PMR,tracking_gap_episodes,Tracking_FPS,EndToEnd_FPS,runtime_seconds,has_legal_evaluation,source,run_dir
ORB-SLAM2,fr3_walking_xyz,run_01,success,exit_0,completed,,827,542,0.654715370,0.610356374,0.607231020,0.236890929,0.028563369,0.679756114,0.655380895,0.344619105,1,25.840594540,9.498146949,87.069615200,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_xyz/run_01
ORB-SLAM2,fr3_walking_xyz,run_02,success,exit_0,completed,,827,530,0.693025272,0.647791567,0.669275250,0.246272439,0.029324029,0.694012784,0.640870617,0.359129383,1,27.969055038,11.137696998,74.252334229,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_xyz/run_02
ORB-SLAM2,fr3_walking_xyz,run_03,success,exit_0,completed,,827,662,1.037182347,0.861072907,0.707710989,0.578187401,0.029534490,0.671741826,0.800483676,0.199516324,1,26.829359905,7.717524737,107.158710622,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_xyz/run_03
ORB-SLAM2,fr3_walking_xyz,run_04,success,exit_0,completed,,827,666,1.115352222,0.929475345,0.750496125,0.616511283,0.035310569,0.796633391,0.805320435,0.194679565,1,27.522885279,8.899211844,92.929577866,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_xyz/run_04
ORB-SLAM2,fr3_walking_xyz,run_05,success,exit_0,completed,,827,535,0.675369918,0.632685911,0.648241140,0.236290211,0.028443138,0.678896500,0.646916566,0.353083434,1,28.146338443,10.090139275,81.961207613,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_xyz/run_05
ORB-SLAM2,fr3_walking_rpy,run_01,success,exit_0,completed,,866,866,1.316399622,1.118884475,1.088450946,0.693545597,0.025672926,0.608743685,1.000000000,0.000000000,0,28.701734446,16.045192394,53.972553196,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_rpy/run_01
ORB-SLAM2,fr3_walking_rpy,run_02,success,exit_0,completed,,866,866,1.322081009,1.118285258,1.076077099,0.705220728,0.027854489,0.647438991,1.000000000,0.000000000,0,26.500736720,16.055874342,53.936645341,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_rpy/run_02
ORB-SLAM2,fr3_walking_rpy,run_03,success,exit_0,completed,,866,856,1.139628837,0.943252120,0.927450761,0.639554004,0.097713880,2.073245938,0.988452656,0.011547344,1,25.630444868,15.543303436,55.715311972,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_rpy/run_03
ORB-SLAM2,fr3_walking_rpy,run_04,success,exit_0,completed,,866,850,0.979732812,0.869705046,0.894132868,0.451098123,0.116337674,2.331641881,0.981524249,0.018475751,2,27.691089284,16.257343882,53.268234116,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_rpy/run_04
ORB-SLAM2,fr3_walking_rpy,run_05,success,exit_0,completed,,866,858,1.063800972,0.873594635,0.793803795,0.607046063,0.091648605,1.887034623,0.990762125,0.009237875,1,27.261252764,16.340648217,52.996673601,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_rpy/run_05
ORB-SLAM2,fr3_walking_halfsphere,run_01,success,exit_0,completed,,1021,759,0.620568075,0.567025076,0.592107004,0.252165220,0.031703747,0.761863881,0.743388834,0.256611166,2,27.259469258,13.481377017,75.734103330,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_halfsphere/run_01
ORB-SLAM2,fr3_walking_halfsphere,run_02,success,exit_0,completed,,1021,812,0.730542890,0.623579417,0.591950248,0.380580642,0.046508726,1.027446411,0.795298727,0.204701273,4,25.494725141,16.064800954,63.555098064,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_halfsphere/run_02
ORB-SLAM2,fr3_walking_halfsphere,run_03,success,exit_0,completed,,1021,892,0.579766061,0.500204918,0.488150702,0.293127490,0.028690705,0.712443472,0.873653281,0.126346719,2,24.706731102,9.607624263,106.269767846,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_halfsphere/run_03
ORB-SLAM2,fr3_walking_halfsphere,run_04,success,exit_0,completed,,1021,764,0.712555404,0.609173213,0.601474585,0.369652812,0.050657597,1.126732677,0.748285994,0.251714006,5,26.561694849,12.522934611,81.530410537,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/ORB-SLAM2/fr3_walking_halfsphere/run_04
