method,sequence,n_total,n_completed,n_legal_evaluation,ATE_RMSE_mean,ATE_RMSE_std,ATE_mean_mean,ATE_mean_std,ATE_median_mean,ATE_median_std,RPE_translation_mean,RPE_translation_std,RPE_rotation_mean,RPE_rotation_std,TSR_mean,TSR_std,PMR_mean,PMR_std,tracking_gap_episodes_mean,tracking_gap_episodes_std,Tracking_FPS_mean,Tracking_FPS_std,EndToEnd_FPS_mean,EndToEnd_FPS_std
ORB-SLAM2,fr3_walking_xyz,5,5,5,0.835129026,0.222270174,0.736276421,0.147746750,0.676590905,0.054996506,0.030235119,0.002876069,0.704208123,0.052294872,0.709794438,0.085168521,0.290205562,0.085168521,1.000000000,0.000000000,27.261646641,0.943081749,9.468543961,1.280969976
ORB-SLAM2,fr3_walking_rpy,5,5,5,1.164328650,0.152317846,0.984744307,0.125635040,0.955983094,0.125411295,0.071845515,0.042154493,1.509621024,0.820178364,0.992147806,0.007933286,0.007852194,0.007933286,0.800000000,0.836660027,27.157051616,1.166552245,16.048472454,0.309941621
ORB-SLAM2,fr3_walking_halfsphere,5,5,5,0.644461647,0.072637222,0.567036864,0.051118781,0.558058976,0.051956212,0.042516424,0.011690324,1.015329160,0.298280045,0.785112635,0.053496174,0.214887365,0.053496174,4.000000000,2.121320344,25.942029400,0.988742596,13.546703624,2.702314783
Semantic,fr3_walking_xyz,5,5,5,0.504875897,0.055832324,0.444571458,0.043940325,0.406825870,0.035769240,0.020592546,0.000933447,0.503245071,0.009724786,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9.648056983,0.273038506,7.283893951,0.128546308
Semantic,fr3_walking_rpy,5,5,5,0.749207411,0.035709288,0.665540052,0.041737689,0.612859636,0.098599740,0.095820777,0.034086524,1.990388008,0.732092267,0.644803695,0.107429405,0.355196305,0.107429405,5.200000000,1.788854382,3.620525851,0.019272036,3.217691951,0.012135684
Semantic,fr3_walking_halfsphere,5,5,5,0.329266379,0.177199782,0.290969153,0.198856454,0.259660364,0.218278467,0.033917146,0.006284071,0.753823914,0.136594806,0.606660137,0.055593440,0.393339863,0.055593440,7.600000000,4.393176527,9.488142365,0.144483852,7.320895971,0.108091106
Temporal,fr3_walking_xyz,5,5,5,0.562268041,0.082441359,0.493921401,0.082434262,0.472346948,0.089391086,0.020463017,0.000748155,0.506878531,0.005321733,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9.043985364,0.116033797,6.751483841,0.190220235
Temporal,fr3_walking_rpy,5,5,5,0.756381005,0.058432875,0.661895020,0.065387830,0.626789134,0.194537033,0.109898220,0.036095167,2.276387464,0.730095384,0.515242494,0.087711941,0.484757506,0.087711941,6.000000000,2.915475947,3.572175680,0.015719303,3.176519685,0.034516861
Temporal,fr3_walking_halfsphere,5,5,5,0.356206538,0.215750874,0.322095703,0.227254146,0.288546817,0.253405337,0.030687906,0.002767884,0.685496805,0.041880071,0.724975514,0.174942281,0.275024486,0.174942281,5.200000000,3.193743885,9.128569279,0.060265326,7.057795581,0.135200063
Full,fr3_walking_xyz,5,5,5,0.538911446,0.042123627,0.471708602,0.042161324,0.468791181,0.049669802,0.020008209,0.000582407,0.500840332,0.007939727,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9.103511523,0.126259972,7.021998288,0.193834771
Full,fr3_walking_rpy,5,5,5,0.465345095,0.395890499,0.419346689,0.366753746,0.422750274,0.394790689,0.068618533,0.051352358,1.469133357,1.087748051,0.334872979,0.218157723,0.665127021,0.218157723,4.200000000,2.588435821,3.640280643,0.039083903,3.244208308,0.033858263
Full,fr3_walking_halfsphere,5,5,5,0.443035265,0.209125910,0.416632539,0.216972489,0.396094625,0.226609499,0.041883302,0.026301599,0.903543224,0.471233192,0.739862880,0.178745120,0.260137120,0.178745120,5.200000000,4.438468204,9.161973187,0.150189189,7.193119009,0.108597845
