method,sequence,run_id,raw_process_status,experiment_completion_status,exit_code,association_total_frames,trajectory_valid_poses,ATE_RMSE,RPE_translation_RMSE,tracking_gap_episodes,TSR,PMR,Tracking_FPS,runtime_seconds,frame_log_frames,dynamic_map_points_mean,suppressed_map_points_mean,cull_dynamic_map_points_mean,cull_suppressed_map_points_mean,mappoint_state_switches,mappoint_state_transition_opportunities,Switching_Frequency,has_evidence,has_legal_evaluation,run_dir
Semantic,fr3_walking_xyz,run_01,exit_1,incomplete,1,827,0,,,1,0.000000000,1.000000000,,92.911685056,0,,,,,0,0,,0,0,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_01
Semantic,fr3_walking_xyz,run_02,unknown,incomplete,,827,0,,,1,0.000000000,1.000000000,,,0,,,,,0,0,,0,0,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_02
Semantic,fr3_walking_xyz,run_03,exit_0,completed,0,827,827,0.586817756,0.020671439,0,1.000000000,0.000000000,8.674080114,127.759481541,826,352.006053269,0.000000000,0.000000000,0.000000000,41475,1240905,0.033423187,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_03
Semantic,fr3_walking_xyz,run_04,exit_0,completed,0,827,827,0.670727337,0.020639221,0,1.000000000,0.000000000,8.511942255,126.597633725,826,483.391041162,0.000000000,0.000000000,0.000000000,55073,1569276,0.035094528,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_04
Semantic,fr3_walking_xyz,run_05,exit_0,completed,0,827,827,0.652233341,0.021428566,0,1.000000000,0.000000000,8.683042886,124.797978554,826,309.029055690,0.000000000,0.000000000,0.000000000,37351,1206985,0.030945704,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_xyz/run_05
Semantic,fr3_walking_rpy,run_01,exit_0,completed,0,866,510,0.694688401,0.095851276,17,0.588914550,0.411085450,3.498350528,281.587357884,559,145.584973166,0.000000000,0.000000000,0.000000000,25285,570330,0.044333982,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_rpy/run_01
Semantic,fr3_walking_rpy,run_02,exit_0,completed,0,866,416,0.730975385,0.114802226,6,0.480369515,0.519630485,3.521560756,276.729807690,454,120.237885463,0.000000000,0.000000000,0.000000000,19694,486934,0.040444906,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_rpy/run_02
Semantic,fr3_walking_rpy,run_03,exit_0,completed,0,866,485,0.695281774,0.106773259,12,0.560046189,0.439953811,3.505082369,276.771040424,524,136.198473282,0.000000000,0.000000000,0.000000000,17909,494200,0.036238365,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_rpy/run_03
Semantic,fr3_walking_rpy,run_04,exit_0,completed,0,866,609,0.822424842,0.113202984,5,0.703233256,0.296766744,3.526180124,274.186609822,626,166.260383387,0.000000000,0.000000000,0.000000000,27065,701078,0.038604834,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_rpy/run_04
Semantic,fr3_walking_rpy,run_05,exit_0,completed,0,866,389,0.742936497,0.122439491,5,0.449191686,0.550808314,3.532158537,273.589856591,420,119.550000000,0.000000000,0.000000000,0.000000000,13096,448551,0.029196234,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_rpy/run_05
Semantic,fr3_walking_halfsphere,run_01,exit_0,completed,0,1021,633,0.181248340,0.027987859,9,0.619980411,0.380019589,9.237789951,151.947210390,645,194.052713178,0.000000000,0.000000000,0.000000000,24136,694201,0.034768028,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_halfsphere/run_01
Semantic,fr3_walking_halfsphere,run_02,exit_0,completed,0,1021,933,0.640052126,0.020573277,2,0.913809990,0.086190010,8.961697704,146.202150248,935,249.343315508,0.000000000,0.000000000,0.000000000,47586,1154313,0.041224521,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_halfsphere/run_02
Semantic,fr3_walking_halfsphere,run_03,exit_0,completed,0,1021,685,0.461111356,0.061456805,11,0.670910872,0.329089128,9.175490430,140.627900985,701,160.216833096,0.000000000,0.000000000,0.000000000,21436,661232,0.032418274,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_halfsphere/run_03
Semantic,fr3_walking_halfsphere,run_04,exit_0,completed,0,1021,550,0.252224168,0.033888676,5,0.538687561,0.461312439,9.521270518,137.938969391,576,146.357638889,0.000000000,0.000000000,0.000000000,15805,567902,0.027830506,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Semantic/fr3_walking_halfsphere/run_04
