method,sequence,run_id,frame_id,dynamic_map_points,suppressed_map_points,observed_unique_map_points,effective_dynamic_map_points,evidence_suppressed_map_points
Semantic,fr3_walking_xyz,run_03,1,0,0,251,14,0
Semantic,fr3_walking_xyz,run_03,2,0,0,447,7,0
Semantic,fr3_walking_xyz,run_03,3,0,0,472,11,0
Semantic,fr3_walking_xyz,run_03,4,0,0,445,9,0
Semantic,fr3_walking_xyz,run_03,5,0,0,458,17,0
Semantic,fr3_walking_xyz,run_03,6,0,0,456,8,0
Semantic,fr3_walking_xyz,run_03,7,0,0,461,11,0
Semantic,fr3_walking_xyz,run_03,8,0,0,398,3,0
Semantic,fr3_walking_xyz,run_03,9,0,0,383,7,0
Semantic,fr3_walking_xyz,run_03,10,0,0,477,18,0
Semantic,fr3_walking_xyz,run_03,11,0,0,442,16,0
Semantic,fr3_walking_xyz,run_03,12,0,0,582,36,0
Semantic,fr3_walking_xyz,run_03,13,0,0,457,8,0
Semantic,fr3_walking_xyz,run_03,14,0,0,573,12,0
Semantic,fr3_walking_xyz,run_03,15,0,0,575,24,0
Semantic,fr3_walking_xyz,run_03,16,0,0,541,182,0
Semantic,fr3_walking_xyz,run_03,17,0,0,376,100,0
Semantic,fr3_walking_xyz,run_03,18,0,0,465,102,0
Semantic,fr3_walking_xyz,run_03,19,0,0,393,78,0
Semantic,fr3_walking_xyz,run_03,20,0,0,444,81,0
Semantic,fr3_walking_xyz,run_03,21,0,0,449,74,0
Semantic,fr3_walking_xyz,run_03,22,0,0,440,74,0
Semantic,fr3_walking_xyz,run_03,23,0,0,458,75,0
Semantic,fr3_walking_xyz,run_03,24,0,0,404,73,0
Semantic,fr3_walking_xyz,run_03,25,0,0,463,67,0
Semantic,fr3_walking_xyz,run_03,26,0,0,484,82,0
Semantic,fr3_walking_xyz,run_03,27,0,0,543,84,0
Semantic,fr3_walking_xyz,run_03,28,0,0,534,68,0
Semantic,fr3_walking_xyz,run_03,29,0,0,547,64,0
Semantic,fr3_walking_xyz,run_03,30,0,0,537,65,0
Semantic,fr3_walking_xyz,run_03,31,0,0,415,55,0
Semantic,fr3_walking_xyz,run_03,32,0,0,473,67,0
Semantic,fr3_walking_xyz,run_03,33,0,0,554,95,0
Semantic,fr3_walking_xyz,run_03,34,0,0,499,89,0
Semantic,fr3_walking_xyz,run_03,35,0,0,549,81,0
Semantic,fr3_walking_xyz,run_03,36,0,0,483,106,0
Semantic,fr3_walking_xyz,run_03,37,0,0,473,84,0
Semantic,fr3_walking_xyz,run_03,38,0,0,521,79,0
Semantic,fr3_walking_xyz,run_03,39,0,0,460,63,0
Semantic,fr3_walking_xyz,run_03,40,0,0,465,69,0
Semantic,fr3_walking_xyz,run_03,41,0,0,450,77,0
Semantic,fr3_walking_xyz,run_03,42,0,0,474,98,0
Semantic,fr3_walking_xyz,run_03,43,0,0,521,95,0
Semantic,fr3_walking_xyz,run_03,44,0,0,529,99,0
Semantic,fr3_walking_xyz,run_03,45,0,0,547,100,0
Semantic,fr3_walking_xyz,run_03,46,0,0,446,71,0
Semantic,fr3_walking_xyz,run_03,47,0,0,465,61,0
Semantic,fr3_walking_xyz,run_03,48,0,0,510,66,0
Semantic,fr3_walking_xyz,run_03,49,0,0,499,65,0
Semantic,fr3_walking_xyz,run_03,50,0,0,575,114,0
Semantic,fr3_walking_xyz,run_03,51,0,0,500,98,0
Semantic,fr3_walking_xyz,run_03,52,0,0,491,102,0
Semantic,fr3_walking_xyz,run_03,53,0,0,467,86,0
Semantic,fr3_walking_xyz,run_03,54,0,0,525,80,0
Semantic,fr3_walking_xyz,run_03,55,0,0,520,79,0
Semantic,fr3_walking_xyz,run_03,56,0,0,560,106,0
Semantic,fr3_walking_xyz,run_03,57,0,0,526,73,0
Semantic,fr3_walking_xyz,run_03,58,0,0,474,67,0
Semantic,fr3_walking_xyz,run_03,59,0,0,517,48,0
Semantic,fr3_walking_xyz,run_03,60,0,0,512,52,0
Semantic,fr3_walking_xyz,run_03,61,0,0,460,56,0
Semantic,fr3_walking_xyz,run_03,62,0,0,510,64,0
Semantic,fr3_walking_xyz,run_03,63,0,0,522,54,0
Semantic,fr3_walking_xyz,run_03,64,0,0,467,53,0
Semantic,fr3_walking_xyz,run_03,65,0,0,515,59,0
Semantic,fr3_walking_xyz,run_03,66,0,0,516,60,0
Semantic,fr3_walking_xyz,run_03,67,0,0,552,61,0
Semantic,fr3_walking_xyz,run_03,68,0,0,519,61,0
Semantic,fr3_walking_xyz,run_03,69,0,0,450,63,0
Semantic,fr3_walking_xyz,run_03,70,0,0,519,68,0
Semantic,fr3_walking_xyz,run_03,71,0,0,488,59,0
Semantic,fr3_walking_xyz,run_03,72,0,0,555,64,0
Semantic,fr3_walking_xyz,run_03,73,0,0,560,79,0
Semantic,fr3_walking_xyz,run_03,74,0,0,512,100,0
Semantic,fr3_walking_xyz,run_03,75,0,0,588,120,0
Semantic,fr3_walking_xyz,run_03,76,0,0,530,100,0
Semantic,fr3_walking_xyz,run_03,77,0,0,552,93,0
Semantic,fr3_walking_xyz,run_03,78,0,0,582,91,0
Semantic,fr3_walking_xyz,run_03,79,0,0,545,108,0
Semantic,fr3_walking_xyz,run_03,80,0,0,613,116,0
Semantic,fr3_walking_xyz,run_03,81,0,0,572,116,0
Semantic,fr3_walking_xyz,run_03,82,0,0,574,92,0
Semantic,fr3_walking_xyz,run_03,83,0,0,607,89,0
Semantic,fr3_walking_xyz,run_03,84,0,0,594,84,0
Semantic,fr3_walking_xyz,run_03,85,0,0,590,100,0
Semantic,fr3_walking_xyz,run_03,86,0,0,553,87,0
Semantic,fr3_walking_xyz,run_03,87,0,0,567,91,0
Semantic,fr3_walking_xyz,run_03,88,0,0,586,109,0
Semantic,fr3_walking_xyz,run_03,89,0,0,566,115,0
Semantic,fr3_walking_xyz,run_03,90,0,0,590,96,0
Semantic,fr3_walking_xyz,run_03,91,0,0,589,94,0
Semantic,fr3_walking_xyz,run_03,92,0,0,528,77,0
Semantic,fr3_walking_xyz,run_03,93,0,0,548,83,0
Semantic,fr3_walking_xyz,run_03,94,0,0,558,91,0
Semantic,fr3_walking_xyz,run_03,95,0,0,561,68,0
Semantic,fr3_walking_xyz,run_03,96,0,0,618,62,0
Semantic,fr3_walking_xyz,run_03,97,0,0,637,61,0
Semantic,fr3_walking_xyz,run_03,98,0,0,665,72,0
Semantic,fr3_walking_xyz,run_03,99,0,0,668,75,0
Semantic,fr3_walking_xyz,run_03,100,0,0,649,68,0
Semantic,fr3_walking_xyz,run_03,101,0,0,657,65,0
Semantic,fr3_walking_xyz,run_03,102,0,0,663,58,0
Semantic,fr3_walking_xyz,run_03,103,0,0,727,81,0
Semantic,fr3_walking_xyz,run_03,104,0,0,755,71,0
Semantic,fr3_walking_xyz,run_03,105,0,0,704,62,0
Semantic,fr3_walking_xyz,run_03,106,0,0,743,76,0
Semantic,fr3_walking_xyz,run_03,107,0,0,689,81,0
Semantic,fr3_walking_xyz,run_03,108,0,0,749,114,0
Semantic,fr3_walking_xyz,run_03,109,0,0,694,116,0
Semantic,fr3_walking_xyz,run_03,110,0,0,705,123,0
Semantic,fr3_walking_xyz,run_03,111,0,0,686,98,0
