sequence,frame_id,gt_nonzero_pixels,ignore_nonzero_pixels,completed
fr3_walking_xyz,2,57035,0,1
fr3_walking_xyz,23,62607,0,1
fr3_walking_xyz,44,47550,0,1
fr3_walking_xyz,65,37544,0,1
fr3_walking_xyz,86,28030,0,1
fr3_walking_xyz,107,16774,0,1
fr3_walking_xyz,128,15745,0,1
fr3_walking_xyz,150,38154,0,1
fr3_walking_xyz,171,50801,0,1
fr3_walking_xyz,192,27702,0,1
fr3_walking_xyz,213,28163,0,1
fr3_walking_xyz,234,22934,0,1
fr3_walking_xyz,255,0,0,1
fr3_walking_xyz,276,0,0,1
fr3_walking_xyz,297,0,0,1
fr3_walking_xyz,318,627,0,1
fr3_walking_xyz,339,1211,0,1
fr3_walking_xyz,360,798,0,1
fr3_walking_xyz,381,33595,0,1
fr3_walking_xyz,402,53867,0,1
fr3_walking_xyz,424,53095,0,1
fr3_walking_xyz,445,11445,0,1
fr3_walking_xyz,466,16754,0,1
fr3_walking_xyz,487,6879,0,1
fr3_walking_xyz,508,34895,0,1
fr3_walking_xyz,529,28281,0,1
fr3_walking_xyz,550,65156,0,1
fr3_walking_xyz,571,85872,0,1
fr3_walking_xyz,592,84351,0,1
fr3_walking_xyz,613,66563,0,1
fr3_walking_xyz,634,29493,0,1
fr3_walking_xyz,655,46218,0,1
fr3_walking_xyz,676,50058,0,1
fr3_walking_xyz,698,47068,0,1
fr3_walking_xyz,719,44333,0,1
fr3_walking_xyz,740,48129,0,1
fr3_walking_xyz,761,43902,0,1
fr3_walking_xyz,782,30723,0,1
fr3_walking_xyz,803,38867,0,1
fr3_walking_xyz,824,0,0,1
fr3_walking_rpy,2,61938,0,1
fr3_walking_rpy,15,63225,0,1
fr3_walking_rpy,28,63394,0,1
fr3_walking_rpy,52,66014,0,1
fr3_walking_rpy,67,48944,0,1
fr3_walking_rpy,80,73409,0,1
fr3_walking_rpy,93,66775,0,1
fr3_walking_rpy,106,65389,0,1
fr3_walking_rpy,118,55717,0,1
fr3_walking_rpy,131,31312,0,1
fr3_walking_rpy,200,0,0,1
fr3_walking_rpy,214,58247,0,1
fr3_walking_rpy,356,1710,0,1
fr3_walking_rpy,369,1701,0,1
fr3_walking_rpy,382,1390,0,1
fr3_walking_rpy,395,59260,0,1
fr3_walking_rpy,408,43039,0,1
fr3_walking_rpy,421,23725,0,1
fr3_walking_rpy,433,6825,0,1
fr3_walking_rpy,446,0,0,1
fr3_walking_rpy,459,0,0,1
fr3_walking_rpy,472,0,0,1
fr3_walking_rpy,484,0,0,1
fr3_walking_rpy,497,0,0,1
fr3_walking_rpy,510,4839,0,1
fr3_walking_rpy,523,14769,0,1
fr3_walking_rpy,536,14809,0,1
fr3_walking_rpy,548,21808,0,1
fr3_walking_rpy,561,33947,0,1
fr3_walking_rpy,574,50479,0,1
fr3_walking_rpy,587,72744,0,1
fr3_walking_rpy,600,52202,0,1
fr3_walking_rpy,612,43959,0,1
fr3_walking_rpy,625,14457,0,1
fr3_walking_rpy,638,0,0,1
fr3_walking_rpy,651,61913,0,1
fr3_walking_rpy,664,64246,0,1
fr3_walking_rpy,709,36079,0,1
fr3_walking_rpy,727,38311,0,1
fr3_walking_rpy,756,79795,0,1
fr3_walking_halfsphere,2,53966,0,1
fr3_walking_halfsphere,13,51968,0,1
fr3_walking_halfsphere,25,73113,0,1
fr3_walking_halfsphere,36,69742,0,1
fr3_walking_halfsphere,48,49183,0,1
fr3_walking_halfsphere,59,71487,0,1
fr3_walking_halfsphere,70,88086,0,1
fr3_walking_halfsphere,112,23073,0,1
fr3_walking_halfsphere,123,14735,0,1
fr3_walking_halfsphere,134,0,0,1
fr3_walking_halfsphere,146,0,0,1
fr3_walking_halfsphere,157,16528,0,1
fr3_walking_halfsphere,169,6829,0,1
fr3_walking_halfsphere,180,1624,0,1
fr3_walking_halfsphere,191,0,0,1
fr3_walking_halfsphere,203,0,0,1
fr3_walking_halfsphere,214,85395,0,1
fr3_walking_halfsphere,305,15002,0,1
fr3_walking_halfsphere,316,12165,0,1
fr3_walking_halfsphere,327,8843,0,1
fr3_walking_halfsphere,339,6186,0,1
fr3_walking_halfsphere,350,2369,0,1
fr3_walking_halfsphere,361,1634,0,1
fr3_walking_halfsphere,373,0,0,1
fr3_walking_halfsphere,384,0,0,1
fr3_walking_halfsphere,396,15717,0,1
fr3_walking_halfsphere,407,64998,0,1
fr3_walking_halfsphere,418,76036,0,1
fr3_walking_halfsphere,430,102210,0,1
fr3_walking_halfsphere,441,82627,0,1
fr3_walking_halfsphere,453,63899,0,1
fr3_walking_halfsphere,464,50252,0,1
fr3_walking_halfsphere,475,49793,0,1
fr3_walking_halfsphere,487,45327,0,1
fr3_walking_halfsphere,498,21988,0,1
fr3_walking_halfsphere,509,74180,0,1
fr3_walking_halfsphere,521,70902,0,1
fr3_walking_halfsphere,532,64554,0,1
fr3_walking_halfsphere,910,30646,0,1
fr3_walking_halfsphere,1015,34642,0,1
