sequence,frame_id,timestamp,rgb_relative_path,semantic_unique_projections,temporal_unique_projections,context_available,both_ge_20,both_ge_10,both_ge_5,both_ge_1
fr3_walking_xyz,0,1341846313.592026,rgb/1341846313.592026.png,0,0,0,0,0,0,0
fr3_walking_xyz,1,1341846313.654184,rgb/1341846313.654184.png,251,251,0,0,0,0,0
fr3_walking_xyz,2,1341846313.686156,rgb/1341846313.686156.png,447,449,1,1,1,1,1
fr3_walking_xyz,3,1341846313.721918,rgb/1341846313.721918.png,472,473,1,1,1,1,1
fr3_walking_xyz,4,1341846313.753994,rgb/1341846313.753994.png,445,446,1,1,1,1,1
fr3_walking_xyz,5,1341846313.789969,rgb/1341846313.789969.png,459,461,1,1,1,1,1
fr3_walking_xyz,6,1341846313.822075,rgb/1341846313.822075.png,459,459,1,1,1,1,1
fr3_walking_xyz,7,1341846313.853928,rgb/1341846313.853928.png,464,466,1,1,1,1,1
fr3_walking_xyz,8,1341846313.890011,rgb/1341846313.890011.png,400,395,1,1,1,1,1
fr3_walking_xyz,9,1341846313.922055,rgb/1341846313.922055.png,384,382,1,1,1,1,1
fr3_walking_xyz,10,1341846313.957927,rgb/1341846313.957927.png,479,477,1,1,1,1,1
fr3_walking_xyz,11,1341846313.990058,rgb/1341846313.990058.png,437,452,1,1,1,1,1
fr3_walking_xyz,12,1341846314.022042,rgb/1341846314.022042.png,582,593,1,1,1,1,1
fr3_walking_xyz,13,1341846314.057816,rgb/1341846314.057816.png,452,469,1,1,1,1,1
fr3_walking_xyz,14,1341846314.089801,rgb/1341846314.089801.png,567,592,1,1,1,1,1
fr3_walking_xyz,15,1341846314.122037,rgb/1341846314.122037.png,452,478,1,1,1,1,1
fr3_walking_xyz,16,1341846314.157989,rgb/1341846314.157989.png,534,539,1,1,1,1,1
fr3_walking_xyz,17,1341846314.190094,rgb/1341846314.190094.png,435,432,1,1,1,1,1
fr3_walking_xyz,18,1341846314.225969,rgb/1341846314.225969.png,514,508,1,1,1,1,1
fr3_walking_xyz,19,1341846314.257923,rgb/1341846314.257923.png,512,513,1,1,1,1,1
fr3_walking_xyz,20,1341846314.290052,rgb/1341846314.290052.png,490,401,1,1,1,1,1
fr3_walking_xyz,21,1341846314.325981,rgb/1341846314.325981.png,510,470,1,1,1,1,1
fr3_walking_xyz,22,1341846314.357905,rgb/1341846314.357905.png,491,468,1,1,1,1,1
fr3_walking_xyz,23,1341846314.389899,rgb/1341846314.389899.png,389,422,1,1,1,1,1
fr3_walking_xyz,24,1341846314.427905,rgb/1341846314.427905.png,458,493,1,1,1,1,1
fr3_walking_xyz,25,1341846314.493987,rgb/1341846314.493987.png,448,481,1,1,1,1,1
fr3_walking_xyz,26,1341846314.526085,rgb/1341846314.526085.png,462,528,1,1,1,1,1
fr3_walking_xyz,27,1341846314.558292,rgb/1341846314.558292.png,521,464,1,1,1,1,1
fr3_walking_xyz,28,1341846314.594085,rgb/1341846314.594085.png,518,525,1,1,1,1,1
fr3_walking_xyz,29,1341846314.626096,rgb/1341846314.626096.png,478,534,1,1,1,1,1
fr3_walking_xyz,30,1341846314.658455,rgb/1341846314.658455.png,537,512,1,1,1,1,1
fr3_walking_xyz,31,1341846314.694004,rgb/1341846314.694004.png,443,435,1,1,1,1,1
fr3_walking_xyz,32,1341846314.725910,rgb/1341846314.725910.png,446,518,1,1,1,1,1
fr3_walking_xyz,33,1341846314.761942,rgb/1341846314.761942.png,529,482,1,1,1,1,1
fr3_walking_xyz,34,1341846314.794030,rgb/1341846314.794030.png,477,533,1,1,1,1,1
fr3_walking_xyz,35,1341846314.826092,rgb/1341846314.826092.png,530,563,1,1,1,1,1
fr3_walking_xyz,36,1341846314.862145,rgb/1341846314.862145.png,478,515,1,1,1,1,1
fr3_walking_xyz,37,1341846314.894072,rgb/1341846314.894072.png,477,497,1,1,1,1,1
fr3_walking_xyz,38,1341846314.925969,rgb/1341846314.925969.png,523,450,1,1,1,1,1
fr3_walking_xyz,39,1341846314.961937,rgb/1341846314.961937.png,521,489,1,1,1,1,1
fr3_walking_xyz,40,1341846314.994564,rgb/1341846314.994564.png,446,485,1,1,1,1,1
fr3_walking_xyz,41,1341846315.029900,rgb/1341846315.029900.png,478,449,1,1,1,1,1
fr3_walking_xyz,42,1341846315.061965,rgb/1341846315.061965.png,466,524,1,1,1,1,1
fr3_walking_xyz,43,1341846315.094388,rgb/1341846315.094388.png,509,434,1,1,1,1,1
fr3_walking_xyz,44,1341846315.129851,rgb/1341846315.129851.png,494,483,1,1,1,1,1
fr3_walking_xyz,45,1341846315.161941,rgb/1341846315.161941.png,521,500,1,1,1,1,1
fr3_walking_xyz,46,1341846315.197984,rgb/1341846315.197984.png,486,439,1,1,1,1,1
fr3_walking_xyz,47,1341846315.230076,rgb/1341846315.230076.png,481,456,1,1,1,1,1
fr3_walking_xyz,48,1341846315.262069,rgb/1341846315.262069.png,520,520,1,1,1,1,1
fr3_walking_xyz,49,1341846315.298000,rgb/1341846315.298000.png,476,511,1,1,1,1,1
fr3_walking_xyz,50,1341846315.329931,rgb/1341846315.329931.png,563,569,1,1,1,1,1
fr3_walking_xyz,51,1341846315.361981,rgb/1341846315.361981.png,490,514,1,1,1,1,1
fr3_walking_xyz,52,1341846315.397962,rgb/1341846315.397962.png,490,495,1,1,1,1,1
fr3_walking_xyz,53,1341846315.429923,rgb/1341846315.429923.png,520,508,1,1,1,1,1
fr3_walking_xyz,54,1341846315.466047,rgb/1341846315.466047.png,511,483,1,1,1,1,1
fr3_walking_xyz,55,1341846315.497883,rgb/1341846315.497883.png,520,532,1,1,1,1,1
fr3_walking_xyz,56,1341846315.530008,rgb/1341846315.530008.png,529,580,1,1,1,1,1
fr3_walking_xyz,57,1341846315.566108,rgb/1341846315.566108.png,551,582,1,1,1,1,1
fr3_walking_xyz,58,1341846315.597986,rgb/1341846315.597986.png,523,553,1,1,1,1,1
fr3_walking_xyz,59,1341846315.630109,rgb/1341846315.630109.png,524,538,1,1,1,1,1
fr3_walking_xyz,60,1341846315.666042,rgb/1341846315.666042.png,526,556,1,1,1,1,1
fr3_walking_xyz,61,1341846315.698114,rgb/1341846315.698114.png,449,511,1,1,1,1,1
fr3_walking_xyz,62,1341846315.733985,rgb/1341846315.733985.png,504,507,1,1,1,1,1
fr3_walking_xyz,63,1341846315.766041,rgb/1341846315.766041.png,519,538,1,1,1,1,1
fr3_walking_xyz,64,1341846315.798188,rgb/1341846315.798188.png,482,522,1,1,1,1,1
