sequence,sample_order,frame_id,timestamp,association_row,rgb_relative_path,rgb_source,selection_rule,substitution,preview_projection_source,preview_visible_mappoints
fr3_walking_xyz,1,0,1341846313.592026,0,rgb/1341846313.592026.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846313.592026.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,0
fr3_walking_xyz,2,21,1341846314.325981,21,rgb/1341846314.325981.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846314.325981.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,510
fr3_walking_xyz,3,42,1341846315.061965,42,rgb/1341846315.061965.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846315.061965.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,466
fr3_walking_xyz,4,64,1341846315.798188,64,rgb/1341846315.798188.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846315.798188.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,482
fr3_walking_xyz,5,85,1341846316.570121,85,rgb/1341846316.570121.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846316.570121.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,628
fr3_walking_xyz,6,106,1341846317.306289,106,rgb/1341846317.306289.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846317.306289.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,711
fr3_walking_xyz,7,127,1341846318.045949,127,rgb/1341846318.045949.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846318.045949.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,552
fr3_walking_xyz,8,148,1341846318.749905,148,rgb/1341846318.749905.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846318.749905.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,651
fr3_walking_xyz,9,169,1341846319.453961,169,rgb/1341846319.453961.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846319.453961.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,759
fr3_walking_xyz,10,191,1341846320.258015,191,rgb/1341846320.258015.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846320.258015.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,777
fr3_walking_xyz,11,212,1341846320.967866,212,rgb/1341846320.967866.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846320.967866.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1545
fr3_walking_xyz,12,233,1341846321.668306,233,rgb/1341846321.668306.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846321.668306.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1651
fr3_walking_xyz,13,254,1341846322.470030,254,rgb/1341846322.470030.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846322.470030.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1823
fr3_walking_xyz,14,275,1341846323.206059,275,rgb/1341846323.206059.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846323.206059.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1445
fr3_walking_xyz,15,297,1341846323.942459,297,rgb/1341846323.942459.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846323.942459.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1268
fr3_walking_xyz,16,318,1341846324.655955,318,rgb/1341846324.655955.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846324.655955.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1381
fr3_walking_xyz,17,339,1341846325.417931,339,rgb/1341846325.417931.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846325.417931.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1615
fr3_walking_xyz,18,360,1341846326.121822,360,rgb/1341846326.121822.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846326.121822.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1446
fr3_walking_xyz,19,381,1341846326.926897,381,rgb/1341846326.926897.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846326.926897.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1758
fr3_walking_xyz,20,402,1341846327.629945,402,rgb/1341846327.629945.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846327.629945.png,40 endpoint-inclusive uniformly spaced association rows; nearest integer,none,Semantic run_01 geometry only,1868
