sequence,sample_order,frame_id,timestamp,association_row,rgb_relative_path,rgb_source,minimum_valid_projections,semantic_unique_projections,temporal_unique_projections,selection_rule,preview_projection_source,preview_visible_mappoints,context_frame_ids
fr3_walking_xyz,1,2,1341846313.686156,2,rgb/1341846313.686156.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846313.686156.png,20,447,449,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,447,0;1;2;3;4
fr3_walking_xyz,2,23,1341846314.389899,23,rgb/1341846314.389899.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846314.389899.png,20,389,422,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,389,21;22;23;24;25
fr3_walking_xyz,3,44,1341846315.129851,44,rgb/1341846315.129851.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846315.129851.png,20,494,483,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,494,42;43;44;45;46
fr3_walking_xyz,4,65,1341846315.834140,65,rgb/1341846315.834140.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846315.834140.png,20,539,541,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,539,63;64;65;66;67
fr3_walking_xyz,5,86,1341846316.601885,86,rgb/1341846316.601885.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846316.601885.png,20,584,559,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,584,84;85;86;87;88
fr3_walking_xyz,6,107,1341846317.348137,107,rgb/1341846317.348137.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846317.348137.png,20,725,762,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,724,105;106;107;108;109
fr3_walking_xyz,7,128,1341846318.078074,128,rgb/1341846318.078074.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846318.078074.png,20,582,714,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,582,126;127;128;129;130
fr3_walking_xyz,8,150,1341846318.814121,150,rgb/1341846318.814121.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846318.814121.png,20,609,656,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,608,148;149;150;151;152
fr3_walking_xyz,9,171,1341846319.554083,171,rgb/1341846319.554083.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846319.554083.png,20,783,821,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,781,169;170;171;172;173
fr3_walking_xyz,10,192,1341846320.289887,192,rgb/1341846320.289887.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846320.289887.png,20,824,934,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,824,190;191;192;193;194
fr3_walking_xyz,11,213,1341846321.000017,213,rgb/1341846321.000017.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846321.000017.png,20,1532,1591,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1530,211;212;213;214;215
fr3_walking_xyz,12,234,1341846321.704411,234,rgb/1341846321.704411.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846321.704411.png,20,1592,1931,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1592,232;233;234;235;236
fr3_walking_xyz,13,255,1341846322.502433,255,rgb/1341846322.502433.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846322.502433.png,20,1784,2002,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1782,253;254;255;256;257
fr3_walking_xyz,14,276,1341846323.238053,276,rgb/1341846323.238053.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846323.238053.png,20,1479,1657,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1478,274;275;276;277;278
fr3_walking_xyz,15,297,1341846323.942459,297,rgb/1341846323.942459.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846323.942459.png,20,1270,1333,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1268,295;296;297;298;299
fr3_walking_xyz,16,318,1341846324.655955,318,rgb/1341846324.655955.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846324.655955.png,20,1383,1430,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1381,316;317;318;319;320
fr3_walking_xyz,17,339,1341846325.417931,339,rgb/1341846325.417931.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846325.417931.png,20,1615,1633,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1615,337;338;339;340;341
fr3_walking_xyz,18,360,1341846326.121822,360,rgb/1341846326.121822.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846326.121822.png,20,1446,1480,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1446,358;359;360;361;362
fr3_walking_xyz,19,381,1341846326.926897,381,rgb/1341846326.926897.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846326.926897.png,20,1758,1742,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1758,379;380;381;382;383
fr3_walking_xyz,20,402,1341846327.629945,402,rgb/1341846327.629945.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846327.629945.png,20,1868,1425,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1868,400;401;402;403;404
fr3_walking_xyz,21,424,1341846328.366008,424,rgb/1341846328.366008.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846328.366008.png,20,2193,2183,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2191,422;423;424;425;426
