experiment,method,sequence,run_id,raw_process_status,experiment_completion_status,legal_evaluation,trajectory_rows,trajectory_columns,trajectory_sha256,evaluation_script,max_timestamp_diff,alignment,groundtruth,ATE_RMSE,ATE_mean,ATE_median,RPE_translation_RMSE,RPE_rotation_RMSE_deg,run_dir
P2,Semantic,fr3_walking_xyz,run_01,exit_0,completed,1,827,8,85b5a5f45b93c41911641483252226222c0d99c0968e5baa24537ed75aca703e,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.4473105304239993,0.4084172547933508,0.4004657809848572,0.01978703693051574,0.4912437343704434,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_01
P2,Semantic,fr3_walking_xyz,run_02,exit_0,completed,1,827,8,2f5041e43dbafeb8147a4d717659d9bafdd4ffed28d9f6652b2bd8b7df998548,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.49978288166077406,0.43756337261308603,0.41021436613858686,0.019788353682343662,0.4943971738368872,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_02
P2,Semantic,fr3_walking_xyz,run_03,exit_0,completed,1,827,8,79bdc69abf80dd7b7abd85d9aa3956ba4ed3894b5ed958b8237f16fddddf11d6,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.5668675794055604,0.4860406914070705,0.4109163723467405,0.020190867504228473,0.5092343603891081,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_03
P2,Semantic,fr3_walking_xyz,run_04,exit_0,completed,1,827,8,73170f371b55c768de4367b8ecf1438c7fbff708de3c01e21da900e34bdd91fc,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.5566198115129104,0.4936136193205592,0.45650814644241144,0.021545556719973602,0.5084741428898362,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_04
P2,Semantic,fr3_walking_xyz,run_05,exit_0,completed,1,827,8,14de772d781e85caf001aede0504d39feca0cd1f411b90699e691f5c6c7ea6ff,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.4537986823851704,0.39722234940470597,0.3560246819595335,0.02165091518966244,0.5128759442923725,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_05
P2,Semantic,fr3_walking_rpy,run_01,exit_0,completed,1,393,8,18472d176dc7b76de23cb85b8b78c6153d1b9b3dc891b8be656eb889281815a7,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7489277510374416,0.7177339912909027,0.7520051963056184,0.11355007974381065,2.3855696034137943,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_01
P2,Semantic,fr3_walking_rpy,run_02,exit_0,completed,1,607,8,ba70f1c84657ab7a09d7d7b82f745071dda80723d3558b8f11aaa2422934d9b9,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7847353149234194,0.6841313431502403,0.6479646240383611,0.1058046335996036,2.226191234548089,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_02
P2,Semantic,fr3_walking_rpy,run_03,exit_0,completed,1,604,8,de17a3c67ea7b40c14a85c60fb0caa8adc42d467a7175462b5c1c267860b6473,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7441579110902294,0.6463828799701206,0.5992709237271128,0.11047545222041723,2.2852561910543847,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_03
P2,Semantic,fr3_walking_rpy,run_04,exit_0,completed,1,582,8,55717a16341a30031f78344da7d977913c82da81e348f942dff7d3a0582e26ec,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.6931396161138329,0.6065705567044215,0.48152370965396585,0.03513190738924885,0.6858809812129412,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_04
P2,Semantic,fr3_walking_rpy,run_05,exit_0,completed,1,606,8,2038360e067a293aa4da59d78905ecf0b0d51e0d5d96a5c1cb1afb7f78927979,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7750764606463815,0.6728814876667499,0.5835337255795601,0.11414181371029629,2.3690420279084843,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_05
P2,Semantic,fr3_walking_halfsphere,run_01,exit_0,completed,1,618,8,af942328c3652a5894f20b8e1dab753111ab207fc85ebe3fcbbb81ae3977eef2,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.20222960188001773,0.1499762451362782,0.10144156364575056,0.0392140273540238,0.8489922098245862,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_01
P2,Semantic,fr3_walking_halfsphere,run_02,exit_0,completed,1,578,8,8354617960dfd096f141a179c329b822d0ab82485d5dca4c4acc0c1d92cba85c,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.5412918241214172,0.5200176972195045,0.529201850084356,0.03354690818937144,0.717533957760836,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_02
