method,sequence,run_id,selection_rule,frame_id,map_point_id,class_id,class,dynamic_hit,dynamic_score,dynamic_state,suppressed
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,1,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,2,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,3,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,4,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,5,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,6,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,7,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,8,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,9,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,10,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,11,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,12,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,13,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,14,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,15,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,16,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,17,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,18,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,19,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,20,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,21,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,22,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,23,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,24,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,25,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,26,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,27,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,28,254,3,person,0,0.000000000,0,0
Temporal,fr3_walking_xyz,run_01,most distinct observed frames among MapPoints ever dynamic; tie=smallest ID,29,254,3,person,0,0.000000000,0,0
