object_id,class_id,class_name,first_frame,last_frame,observations,bbox_left,bbox_top,bbox_right,bbox_bottom,center_x,center_y,center_z
1,2,low_dynamic_group,,716,771,5.000000,326.000000,162.000000,476.000000,-0.697027385,0.302854866,2.152710676
26,2,low_dynamic_group,,716,1150,391.000000,358.000000,589.000000,477.000000,0.705436826,0.292375058,1.903762221
0,1,static_group,,716,1430,171.000000,240.000000,256.000000,309.000000,-0.542385399,-0.350530922,2.989740372
2,1,static_group,,716,1111,350.000000,225.000000,448.000000,312.000000,0.525380135,-0.363972187,2.928260803
18,2,low_dynamic_group,,590,72,434.000000,384.000000,628.000000,480.000000,1.081627846,0.442788869,2.842972040
163,2,low_dynamic_group,,283,26,110.000000,286.000000,241.000000,477.000000,-0.969569802,0.592098296,3.123742819
876,1,static_group,,595,22,337.000000,228.000000,473.000000,326.000000,0.383345395,-0.301317006,2.133703709
2701,1,static_group,,423,66,188.000000,221.000000,273.000000,287.000000,0.100700557,-0.197847649,1.121847510
1320,1,static_group,,555,26,487.000000,269.000000,580.000000,371.000000,1.263388753,-0.156044722,3.162357092
1212,2,low_dynamic_group,,431,5,435.000000,364.000000,600.000000,478.000000,0.292132765,0.087918647,0.997855604
2738,2,low_dynamic_group,,421,36,141.000000,297.000000,246.000000,475.000000,-0.181691304,0.096503913,0.931271970
3968,2,low_dynamic_group,,628,30,514.000000,393.000000,629.000000,477.000000,1.845306396,0.457460850,3.670521498
