sequence,category,method,variant,dataset,association,gt,est,status,notes
fr3_walking_xyz,dynamic,ORB-SLAM2,Baseline,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/associate.txt,ORB_SLAM2_trajectory/freiburg3_walking_xyz/groundtruth.txt,ORB_SLAM2_trajectory/freiburg3_walking_xyz/CameraTrajectory_rgbd_tum.txt,ready,Existing trajectory and groundtruth copy
fr3_walking_xyz,dynamic,Hard Remove,YOLO single-frame,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/associate.txt,,,needs_run,Run with ORB_SLAM2_SEMANTIC_MODE=1
fr3_walking_xyz,dynamic,Dynamic Score,YOLO accumulation,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/associate.txt,,,needs_run,Run ablation with dynamic accumulation and without reporting object-map contribution
fr3_walking_xyz,dynamic,Full Method,Dynamic Score + Object Map,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/associate.txt,ORB_SLAM2_trajectory/freiburg3_walking_xyz/groundtruth.txt,TUM_fr3_walking_xyz_results/YDOF-SLAM.txt,candidate_existing,Existing semantic trajectory; verify run setting before final paper use
fr3_walking_rpy,dynamic,ORB-SLAM2,Baseline,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy,dataset_associations/fr3_walking_rpy_associate.txt,ORB_SLAM2_trajectory/freiburg3_walking_rpy/groundtruth.txt,ORB_SLAM2_trajectory/freiburg3_walking_rpy/CameraTrajectory_rgbd_tum.txt,ready,Existing trajectory and groundtruth copy
fr3_walking_rpy,dynamic,Hard Remove,YOLO single-frame,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy,dataset_associations/fr3_walking_rpy_associate.txt,,,needs_run,Run with ORB_SLAM2_SEMANTIC_MODE=1
fr3_walking_rpy,dynamic,Dynamic Score,YOLO accumulation,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy,dataset_associations/fr3_walking_rpy_associate.txt,,,needs_run,Run ablation with dynamic accumulation
fr3_walking_rpy,dynamic,Full Method,Dynamic Score + Object Map,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy,dataset_associations/fr3_walking_rpy_associate.txt,,,needs_run,Run full method
fr3_walking_halfsphere,dynamic,ORB-SLAM2,Baseline,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/associate.txt,ORB_SLAM2_trajectory/freiburg3_walking_halfsphere/groundtruth.txt,ORB_SLAM2_trajectory/freiburg3_walking_halfsphere/CameraTrajectory_rgbd_tum.txt,ready,Existing trajectory and groundtruth copy
fr3_walking_halfsphere,dynamic,Hard Remove,YOLO single-frame,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/associate.txt,,,needs_run,Run with ORB_SLAM2_SEMANTIC_MODE=1
fr3_walking_halfsphere,dynamic,Dynamic Score,YOLO accumulation,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/associate.txt,,,needs_run,Run ablation with dynamic accumulation
fr3_walking_halfsphere,dynamic,Full Method,Dynamic Score + Object Map,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/associate.txt,ORB_SLAM2_trajectory/freiburg3_walking_halfsphere/groundtruth.txt,TUM_fr3_walking_half_results/CameraTrajectory_YOLO_half.txt,candidate_existing,Existing semantic trajectory; verify naming and run setting before final paper use
fr3_walking_static,dynamic,ORB-SLAM2,Baseline,rgbd_dataset_freiburg3_walking_static,rgbd_dataset_freiburg3_walking_static/associate.txt,rgbd_dataset_freiburg3_walking_static/groundtruth.txt,ORB_SLAM2_trajectory/freiburg3_walking_static/CameraTrajectory_rgbd_tum.txt,ready,Completed
fr3_walking_static,dynamic,Hard Remove,YOLO single-frame,rgbd_dataset_freiburg3_walking_static,rgbd_dataset_freiburg3_walking_static/associate.txt,rgbd_dataset_freiburg3_walking_static/groundtruth.txt,Semantic_Hard_Remove_trajectory/freiburg3_walking_static/CameraTrajectory.txt,ready,Completed with ORB_SLAM2_SEMANTIC_MODE=1
fr3_walking_static,dynamic,Dynamic Score,YOLO accumulation,rgbd_dataset_freiburg3_walking_static,rgbd_dataset_freiburg3_walking_static/associate.txt,,,needs_run,Need separate Dynamic Score ablation trajectory if object-map contribution must be isolated
fr3_walking_static,dynamic,Full Method,Dynamic Score + Object Map,rgbd_dataset_freiburg3_walking_static,rgbd_dataset_freiburg3_walking_static/associate.txt,rgbd_dataset_freiburg3_walking_static/groundtruth.txt,TUM_fr3_walking_static_results/CameraTrajectory_YOLO_wstatic.txt,ready,Completed
fr1_xyz,static_low_dynamic,ORB-SLAM2,Baseline,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_xyz,dataset_associations/fr1_xyz_associate.txt,,,needs_run,Dataset found; run ORB-SLAM2 baseline
fr1_xyz,static_low_dynamic,Hard Remove,YOLO single-frame,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_xyz,dataset_associations/fr1_xyz_associate.txt,,,needs_run,Dataset found; run hard remove
fr1_xyz,static_low_dynamic,Dynamic Score,YOLO accumulation,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_xyz,dataset_associations/fr1_xyz_associate.txt,,,needs_run,Dataset found; run Dynamic Score
fr1_xyz,static_low_dynamic,Full Method,Dynamic Score + Object Map,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_xyz,dataset_associations/fr1_xyz_associate.txt,,,needs_run,Dataset found; run Full Method
fr1_desk,static_low_dynamic,ORB-SLAM2,Baseline,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_desk,dataset_associations/fr1_desk_associate.txt,,,needs_run,Dataset found; run ORB-SLAM2 baseline
fr1_desk,static_low_dynamic,Hard Remove,YOLO single-frame,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_desk,dataset_associations/fr1_desk_associate.txt,,,needs_run,Dataset found; run hard remove
fr1_desk,static_low_dynamic,Dynamic Score,YOLO accumulation,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_desk,dataset_associations/fr1_desk_associate.txt,,,needs_run,Dataset found; run Dynamic Score
fr1_desk,static_low_dynamic,Full Method,Dynamic Score + Object Map,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg1_desk,dataset_associations/fr1_desk_associate.txt,,,needs_run,Dataset found; run Full Method
