lambda,sequence,source_sequence,ATE,RPE,Smoothness,Variance
0.1,fr3_xyz,fr3_walking_xyz,0.399336466,0.047623363,0.024353287,0.002146577
0.1,fr3_rpy,fr3_walking_rpy,0.726482381,0.120104018,0.040969746,0.015003415
0.1,fr3_walking_xyz,fr3_walking_xyz,0.399336466,0.047623363,0.024353287,0.002146577
0.3,fr3_xyz,fr3_walking_xyz,0.395198059,0.054143562,0.029453422,0.002449910
0.3,fr3_rpy,fr3_walking_rpy,0.790864317,0.109529278,0.041637972,0.011869624
0.3,fr3_walking_xyz,fr3_walking_xyz,0.395198059,0.054143562,0.029453422,0.002449910
0.5,fr3_xyz,fr3_walking_xyz,0.368822306,0.055947250,0.031621854,0.002537871
0.5,fr3_rpy,fr3_walking_rpy,0.793623852,0.095012869,0.039703089,0.008777055
0.5,fr3_walking_xyz,fr3_walking_xyz,0.368822306,0.055947250,0.031621854,0.002537871
0.7,fr3_xyz,fr3_walking_xyz,0.340555911,0.056046729,0.032546491,0.002547027
0.7,fr3_rpy,fr3_walking_rpy,0.777782631,0.081894936,0.037343835,0.006241384
0.7,fr3_walking_xyz,fr3_walking_xyz,0.340555911,0.056046729,0.032546491,0.002547027
0.8,fr3_xyz,fr3_walking_xyz,0.332259004,0.056075995,0.032817946,0.002549717
0.8,fr3_rpy,fr3_walking_rpy,0.773133505,0.078044401,0.036651344,0.005497071
0.8,fr3_walking_xyz,fr3_walking_xyz,0.332259004,0.056075995,0.032817946,0.002549717
0.9,fr3_xyz,fr3_walking_xyz,0.332259004,0.056075995,0.032817946,0.002549717
0.9,fr3_rpy,fr3_walking_rpy,0.773133505,0.078044401,0.036651344,0.005497071
0.9,fr3_walking_xyz,fr3_walking_xyz,0.332259004,0.056075995,0.032817946,0.002549717
0.95,fr3_xyz,fr3_walking_xyz,0.615286021,0.129632738,0.042758182,0.015303862
0.95,fr3_rpy,fr3_walking_rpy,0.833816841,0.163844885,0.049283668,0.026900281
0.95,fr3_walking_xyz,fr3_walking_xyz,0.615286021,0.129632738,0.042758182,0.015303862
